"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","32,700.0","32,800.0","32,950.0","32,600.0","2.71M","-0.61%"
"10/03/2022","32,900.0","33,000.0","33,400.0","32,900.0","2.20M","0.61%"
"09/03/2022","32,700.0","32,750.0","32,950.0","32,400.0","4.17M","0.31%"
"08/03/2022","32,600.0","33,000.0","33,200.0","32,550.0","7.22M","-1.95%"
"07/03/2022","33,250.0","33,500.0","33,800.0","33,150.0","4.69M","-3.06%"
"04/03/2022","34,300.0","33,400.0","34,300.0","33,000.0","6.93M","2.54%"
"03/03/2022","33,450.0","33,000.0","33,450.0","32,900.0","8.17M","1.67%"
"02/03/2022","32,900.0","33,700.0","34,000.0","32,900.0","13.88M","-2.81%"
"01/03/2022","33,850.0","34,000.0","34,000.0","33,550.0","5.61M","-0.15%"
"28/02/2022","33,900.0","34,300.0","34,350.0","33,900.0","3.86M","-1.31%"
"25/02/2022","34,350.0","34,500.0","34,750.0","34,300.0","5.51M","-0.29%"
"24/02/2022","34,450.0","34,350.0","34,600.0","33,450.0","8.89M","-0.43%"
"23/02/2022","34,600.0","34,800.0","35,100.0","34,600.0","5.86M","-0.29%"
"22/02/2022","34,700.0","34,000.0","34,700.0","33,600.0","8.09M","0.87%"
"21/02/2022","34,400.0","33,900.0","34,400.0","33,550.0","7.29M","1.62%"
"18/02/2022","33,850.0","34,100.0","34,250.0","33,700.0","7.32M","-1.31%"
"17/02/2022","34,300.0","34,150.0","34,450.0","34,100.0","3.91M","0.29%"
"16/02/2022","34,200.0","34,700.0","34,700.0","34,000.0","5.10M","-0.87%"
"15/02/2022","34,500.0","34,050.0","34,500.0","34,000.0","6.63M","1.47%"
"14/02/2022","34,000.0","35,400.0","35,600.0","34,000.0","13.15M","-4.76%"
"11/02/2022","35,700.0","35,300.0","36,350.0","35,250.0","9.58M","0.42%"
"10/02/2022","35,550.0","35,600.0","35,800.0","35,350.0","7.63M","-0.14%"
"09/02/2022","35,600.0","35,900.0","35,950.0","35,500.0","10.15M","-0.42%"
"08/02/2022","35,750.0","34,700.0","36,000.0","34,700.0","32.46M","3.03%"
"07/02/2022","34,700.0","35,000.0","35,150.0","34,650.0","4.55M","0.43%"
"28/01/2022","34,550.0","34,900.0","35,000.0","34,400.0","10.26M","-1.00%"
"27/01/2022","34,900.0","35,400.0","35,400.0","34,550.0","6.06M","-1.55%"
"26/01/2022","35,450.0","35,000.0","35,950.0","35,000.0","8.49M","1.72%"
"25/01/2022","34,850.0","34,350.0","35,050.0","34,350.0","4.28M","1.46%"
"24/01/2022","34,350.0","33,500.0","34,900.0","33,500.0","13.19M","2.69%"
"21/01/2022","33,450.0","32,950.0","34,000.0","32,900.0","4.40M","1.52%"
"20/01/2022","32,950.0","33,000.0","33,150.0","32,700.0","3.42M","-0.15%"
"19/01/2022","33,000.0","32,800.0","33,300.0","32,800.0","2.10M","0.61%"
"18/01/2022","32,800.0","32,750.0","33,050.0","32,300.0","4.27M","0.15%"
"17/01/2022","32,750.0","33,100.0","33,650.0","32,750.0","7.28M","-0.91%"
"14/01/2022","33,050.0","33,350.0","33,450.0","33,000.0","1.94M","-0.90%"
"13/01/2022","33,350.0","33,650.0","34,250.0","33,150.0","6.51M","0.76%"
"12/01/2022","33,100.0","32,700.0","33,550.0","32,550.0","7.79M","1.07%"
"11/01/2022","32,750.0","33,000.0","33,050.0","32,700.0","6.40M","-0.76%"
"10/01/2022","33,000.0","33,000.0","33,400.0","32,950.0","5.69M","-0.90%"
"07/01/2022","33,300.0","33,900.0","33,950.0","33,300.0","3.32M","-1.33%"
"06/01/2022","33,750.0","33,500.0","34,000.0","33,100.0","5.67M","0.15%"
"05/01/2022","33,700.0","34,350.0","34,350.0","33,650.0","5.93M","-2.03%"
"04/01/2022","34,400.0","34,800.0","34,800.0","34,250.0","4.56M","-0.29%"
"31/12/2021","34,500.0","34,000.0","34,550.0","34,000.0","5.65M","1.77%"
"30/12/2021","33,900.0","33,700.0","34,000.0","33,500.0","1.82M","0.30%"
"29/12/2021","33,800.0","33,850.0","34,200.0","33,700.0","3.82M","0.45%"
"28/12/2021","33,650.0","33,150.0","33,750.0","33,050.0","3.48M","1.51%"
"27/12/2021","33,150.0","33,300.0","33,300.0","32,900.0","2.46M","0.45%"
"24/12/2021","33,000.0","32,500.0","33,150.0","32,200.0","4.37M","1.54%"
"23/12/2021","32,500.0","32,600.0","32,650.0","32,000.0","4.14M","-0.61%"
"22/12/2021","32,700.0","32,650.0","32,950.0","32,650.0","3.39M","-0.30%"
"21/12/2021","32,800.0","32,950.0","32,950.0","32,800.0","2.42M","-0.91%"
"20/12/2021","33,100.0","33,200.0","33,300.0","32,850.0","3.30M","-0.30%"
"17/12/2021","33,200.0","33,150.0","33,300.0","33,050.0","2.40M","0.61%"
"16/12/2021","33,000.0","33,500.0","33,550.0","33,000.0","2.31M","-1.20%"
"15/12/2021","33,400.0","33,100.0","33,550.0","33,050.0","2.12M","0.30%"
"14/12/2021","33,300.0","33,300.0","33,500.0","33,100.0","2.13M","-0.30%"
"13/12/2021","33,400.0","33,550.0","33,800.0","33,300.0","3.01M","0.00%"
"10/12/2021","33,400.0","33,200.0","33,600.0","33,100.0","4.73M","0.30%"
"09/12/2021","33,300.0","33,000.0","33,300.0","32,800.0","2.16M","0.60%"
"08/12/2021","33,100.0","32,650.0","33,400.0","32,550.0","2.90M","0.46%"
"07/12/2021","32,950.0","32,500.0","32,950.0","32,100.0","2.83M","2.01%"
"06/12/2021","32,300.0","32,300.0","32,800.0","31,650.0","6.50M","-0.77%"
"03/12/2021","32,550.0","33,400.0","33,550.0","32,550.0","4.92M","-1.96%"
"02/12/2021","33,200.0","33,600.0","33,600.0","33,200.0","2.65M","-0.90%"
"01/12/2021","33,500.0","33,100.0","33,500.0","33,050.0","3.62M","0.60%"
"30/11/2021","33,300.0","34,400.0","34,500.0","33,200.0","6.15M","-2.49%"
"29/11/2021","34,150.0","33,800.0","34,300.0","33,800.0","6.10M","-1.30%"
"26/11/2021","34,600.0","35,150.0","35,300.0","34,600.0","6.21M","-1.56%"
"25/11/2021","35,150.0","35,500.0","35,550.0","34,950.0","7.08M","-0.57%"
"24/11/2021","35,350.0","33,900.0","35,450.0","33,750.0","14.30M","4.12%"
"23/11/2021","33,950.0","34,250.0","34,300.0","33,700.0","3.84M","-0.59%"
"22/11/2021","34,150.0","33,500.0","34,800.0","33,000.0","9.15M","2.09%"
"19/11/2021","33,450.0","32,700.0","33,900.0","32,550.0","9.79M","2.92%"
"18/11/2021","32,500.0","33,500.0","33,500.0","32,500.0","5.50M","-2.40%"
"17/11/2021","33,300.0","33,150.0","33,500.0","32,800.0","4.36M","0.45%"
"16/11/2021","33,150.0","33,350.0","33,400.0","32,800.0","5.21M","-0.75%"
"15/11/2021","33,400.0","33,400.0","33,600.0","33,250.0","4.88M","0.15%"
"12/11/2021","33,350.0","33,000.0","33,350.0","32,650.0","4.38M","1.06%"
"11/11/2021","33,000.0","33,300.0","33,550.0","32,500.0","7.13M","-1.20%"
"10/11/2021","33,400.0","33,500.0","33,550.0","33,150.0","4.37M","-0.15%"
"09/11/2021","33,450.0","33,400.0","33,800.0","33,350.0","5.05M","0.15%"
"08/11/2021","33,400.0","33,500.0","33,650.0","33,200.0","5.39M","-0.30%"
"05/11/2021","33,500.0","33,800.0","33,800.0","33,300.0","3.97M","0.00%"
"04/11/2021","33,500.0","34,050.0","34,050.0","33,450.0","4.20M","-1.03%"
"03/11/2021","33,850.0","33,300.0","34,100.0","33,250.0","13.06M","2.11%"
"02/11/2021","33,150.0","32,700.0","33,150.0","32,550.0","7.01M","1.38%"
"01/11/2021","32,700.0","32,800.0","32,900.0","32,400.0","5.29M","-0.91%"
"29/10/2021","33,000.0","31,850.0","33,000.0","31,750.0","13.60M","3.61%"
"28/10/2021","31,850.0","31,650.0","31,850.0","31,500.0","4.65M","1.43%"
"27/10/2021","31,400.0","31,150.0","31,800.0","31,150.0","5.83M","0.96%"
"26/10/2021","31,100.0","31,250.0","31,250.0","30,800.0","5.26M","-0.48%"
"25/10/2021","31,250.0","31,700.0","31,700.0","31,100.0","5.20M","-1.11%"
"22/10/2021","31,600.0","31,900.0","31,950.0","31,450.0","3.83M","-0.47%"
"21/10/2021","31,750.0","32,300.0","32,300.0","31,750.0","4.13M","-1.70%"
"20/10/2021","32,300.0","32,300.0","32,650.0","31,800.0","3.85M","0.00%"
"19/10/2021","32,300.0","32,400.0","32,400.0","31,900.0","3.62M","0.94%"
"18/10/2021","32,000.0","32,350.0","32,600.0","32,000.0","4.54M","-0.62%"
"15/10/2021","32,200.0","32,500.0","32,550.0","32,100.0","2.98M","-0.31%"
"14/10/2021","32,300.0","32,600.0","32,700.0","32,200.0","4.52M","-0.92%"
"13/10/2021","32,600.0","32,600.0","32,900.0","32,500.0","3.71M","0.00%"
"12/10/2021","32,600.0","32,900.0","32,900.0","32,400.0","3.39M","0.00%"
"11/10/2021","32,600.0","31,600.0","32,600.0","31,600.0","6.68M","3.66%"
"08/10/2021","31,450.0","31,400.0","31,550.0","31,250.0","3.48M","0.80%"
"07/10/2021","31,200.0","31,500.0","31,500.0","31,200.0","2.16M","-0.48%"
"06/10/2021","31,350.0","31,550.0","31,650.0","31,100.0","3.32M","-0.48%"
