"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","34,500","35,500","35,800","34,450","2.60M","-2.95%"
"10/03/2022","35,550","36,200","36,350","35,500","1.42M","-1.25%"
"09/03/2022","36,000","36,350","36,600","35,300","2.16M","-0.83%"
"08/03/2022","36,300","36,500","37,800","36,100","3.78M","-1.22%"
"07/03/2022","36,750","36,000","36,900","35,700","3.26M","2.08%"
"04/03/2022","36,000","36,400","36,750","35,700","3.16M","-0.83%"
"03/03/2022","36,300","35,850","36,300","35,700","2.75M","2.54%"
"02/03/2022","35,400","36,100","36,250","35,350","3.34M","-0.84%"
"01/03/2022","35,700","34,200","35,850","34,200","4.76M","4.54%"
"28/02/2022","34,150","34,300","34,300","33,500","1.90M","0.44%"
"25/02/2022","34,000","34,200","34,500","34,000","1.51M","0.89%"
"24/02/2022","33,700","34,250","34,800","32,100","3.12M","-1.61%"
"23/02/2022","34,250","34,300","35,400","34,000","2.39M","0.00%"
"22/02/2022","34,250","34,550","34,550","33,600","1.52M","-1.01%"
"21/02/2022","34,600","33,500","34,700","33,500","2.34M","2.98%"
"18/02/2022","33,600","33,750","33,900","33,450","1.59M","-1.18%"
"17/02/2022","34,000","34,000","34,350","33,750","1.26M","0.74%"
"16/02/2022","33,750","34,000","34,000","33,650","760.90K","1.20%"
"15/02/2022","33,350","33,100","33,600","33,100","828.90K","0.15%"
"14/02/2022","33,300","33,750","34,000","33,200","1.17M","-1.91%"
"11/02/2022","33,950","33,100","34,500","33,100","1.52M","1.04%"
"10/02/2022","33,600","33,150","33,700","32,800","1.46M","1.51%"
"09/02/2022","33,100","33,200","33,400","32,800","1.14M","0.30%"
"08/02/2022","33,000","32,300","33,300","32,100","1.17M","2.48%"
"07/02/2022","32,200","32,000","32,200","31,700","865.40K","3.21%"
"28/01/2022","31,200","30,700","31,200","30,550","953.70K","1.63%"
"27/01/2022","30,700","31,000","31,400","30,700","689.00K","-0.97%"
"26/01/2022","31,000","31,800","31,850","31,000","1.07M","-0.80%"
"25/01/2022","31,250","29,200","31,350","29,200","1.58M","3.65%"
"24/01/2022","30,150","32,400","32,500","30,150","2.23M","-6.94%"
"21/01/2022","32,400","33,000","33,350","32,400","1.67M","-0.31%"
"20/01/2022","32,500","32,400","32,900","31,800","1.48M","2.20%"
"19/01/2022","31,800","31,700","32,600","31,100","1.77M","2.25%"
"18/01/2022","31,100","32,400","33,000","31,100","2.90M","-6.47%"
"17/01/2022","33,250","35,700","35,900","33,250","4.52M","-6.86%"
"14/01/2022","35,700","35,200","36,300","35,200","1.69M","0.56%"
"13/01/2022","35,500","37,100","37,500","35,500","3.36M","-4.05%"
"12/01/2022","37,000","36,800","37,000","35,050","4.42M","0.54%"
"11/01/2022","36,800","37,600","38,000","36,800","3.29M","-2.39%"
"10/01/2022","37,700","38,600","39,200","37,700","4.46M","-2.08%"
"07/01/2022","38,500","38,500","39,400","38,200","2.83M","-0.26%"
"06/01/2022","38,600","38,000","39,350","37,800","4.13M","0.52%"
"05/01/2022","38,400","37,600","38,700","37,200","5.61M","2.13%"
"04/01/2022","37,600","37,200","37,950","37,000","2.27M","1.76%"
"31/12/2021","36,950","37,200","37,400","36,850","2.17M","-0.14%"
"30/12/2021","37,000","36,900","37,450","36,850","2.38M","0.27%"
"29/12/2021","36,900","37,600","37,900","36,800","6.19M","-2.51%"
"28/12/2021","37,850","38,600","39,000","37,700","4.19M","-1.94%"
"27/12/2021","38,600","38,900","39,200","38,100","2.79M","-1.15%"
"24/12/2021","39,050","39,100","40,250","38,800","3.95M","0.13%"
"23/12/2021","39,000","39,350","39,800","38,450","4.28M","0.00%"
"22/12/2021","39,000","37,900","39,950","37,700","7.89M","3.45%"
"21/12/2021","37,700","37,500","38,300","37,100","2.77M","0.27%"
"20/12/2021","37,600","38,200","38,250","37,450","2.39M","-1.70%"
"17/12/2021","38,250","38,000","39,000","37,900","2.96M","1.06%"
"16/12/2021","37,850","38,000","38,400","37,700","1.84M","0.26%"
"15/12/2021","37,750","38,000","38,850","37,650","2.61M","-1.05%"
"14/12/2021","38,150","38,500","39,050","37,500","2.70M","-0.91%"
"13/12/2021","38,500","38,000","38,900","37,600","2.82M","2.67%"
"10/12/2021","37,500","37,300","38,000","37,300","2.20M","0.40%"
"09/12/2021","37,350","37,000","37,750","36,700","1.61M","0.95%"
"08/12/2021","37,000","36,950","38,300","36,650","1.84M","1.09%"
"07/12/2021","36,600","36,500","37,000","36,150","1.45M","1.67%"
"06/12/2021","36,000","36,500","37,200","35,250","2.69M","-1.37%"
"03/12/2021","36,500","38,350","39,000","36,500","3.25M","-5.56%"
"02/12/2021","38,650","38,100","39,800","38,050","2.67M","0.39%"
"01/12/2021","38,500","38,600","39,000","38,000","1.97M","-0.77%"
"30/11/2021","38,800","37,300","39,350","37,300","7.46M","5.43%"
"29/11/2021","36,800","36,000","37,000","35,900","2.72M","-0.41%"
"26/11/2021","36,950","37,900","38,000","36,700","3.37M","-2.25%"
"25/11/2021","37,800","37,500","38,500","37,400","2.64M","1.61%"
"24/11/2021","37,200","37,550","37,950","37,000","2.88M","-0.80%"
"23/11/2021","37,500","35,200","37,500","35,200","2.45M","5.34%"
"22/11/2021","35,600","37,050","37,700","35,600","5.21M","-5.57%"
"19/11/2021","37,700","39,900","40,100","37,100","6.32M","-5.40%"
"18/11/2021","39,850","39,800","40,650","39,700","4.02M","-0.38%"
"17/11/2021","40,000","39,350","40,900","39,000","3.34M","1.65%"
"16/11/2021","39,350","40,450","40,450","39,150","5.34M","-2.84%"
"15/11/2021","40,500","41,500","41,650","40,000","6.69M","-2.17%"
"12/11/2021","41,400","42,000","42,300","40,800","2.87M","-1.19%"
"11/11/2021","41,900","41,250","42,800","40,450","7.15M","1.95%"
"10/11/2021","41,100","40,700","41,800","40,100","4.58M","1.23%"
"09/11/2021","40,600","40,800","41,200","40,350","3.74M","-0.25%"
"08/11/2021","40,700","40,400","41,500","40,200","4.28M","1.50%"
"05/11/2021","40,100","40,200","40,700","39,900","4.26M","0.38%"
"04/11/2021","39,950","39,900","40,900","39,300","4.40M","1.65%"
"03/11/2021","39,300","43,300","43,300","39,300","6.91M","-6.65%"
"02/11/2021","42,100","39,200","42,100","39,000","8.46M","6.99%"
"01/11/2021","39,350","39,800","40,000","39,000","5.67M","-1.13%"
"29/10/2021","39,800","40,500","40,900","39,550","4.72M","-0.62%"
"28/10/2021","40,050","40,000","40,900","39,200","4.76M","0.13%"
"27/10/2021","40,000","39,600","40,800","39,250","6.28M","1.39%"
"26/10/2021","39,450","39,300","39,600","38,600","2.91M","0.38%"
"25/10/2021","39,300","38,800","40,250","38,300","8.64M","2.61%"
"22/10/2021","38,300","37,150","38,450","37,100","5.28M","3.23%"
"21/10/2021","37,100","37,800","37,800","36,900","2.64M","-1.07%"
"20/10/2021","37,500","37,450","37,800","37,100","2.72M","0.00%"
"19/10/2021","37,500","37,800","37,800","37,200","3.83M","-0.92%"
"18/10/2021","37,850","38,200","38,800","37,800","4.12M","-0.92%"
"15/10/2021","38,200","38,600","39,000","37,800","3.56M","-0.52%"
"14/10/2021","38,400","37,850","38,800","37,600","4.98M","2.40%"
"13/10/2021","37,500","37,700","37,700","37,250","2.50M","-0.79%"
"12/10/2021","37,800","38,200","38,200","37,650","4.80M","0.00%"
"11/10/2021","37,800","38,000","38,300","37,600","2.92M","0.40%"
"08/10/2021","37,650","38,300","38,450","37,550","3.44M","-1.44%"
"07/10/2021","38,200","38,300","38,600","37,800","4.04M","0.92%"
"06/10/2021","37,850","37,650","38,350","37,550","2.93M","0.93%"
"05/10/2021","37,500","37,350","37,900","37,150","3.01M","1.08%"
"04/10/2021","37,100","36,300","37,550","36,100","3.46M","2.77%"
"01/10/2021","36,100","35,750","36,450","35,500","2.70M","0.56%"
"30/09/2021","35,900","36,450","36,500","35,900","1.72M","-0.28%"
"29/09/2021","36,000","35,700","36,600","35,700","3.53M","0.56%"
"28/09/2021","35,800","35,150","36,050","34,950","4.57M","0.56%"
"27/09/2021","35,600","37,400","37,500","35,600","3.94M","-3.78%"
"24/09/2021","37,000","37,350","38,000","37,000","2.89M","-0.54%"
"23/09/2021","37,200","38,000","38,500","37,000","3.71M","0.54%"
"22/09/2021","37,000","36,500","37,200","36,300","3.56M","1.65%"
"21/09/2021","36,400","36,800","37,350","35,350","6.77M","-2.67%"
"20/09/2021","37,400","38,700","39,000","37,400","4.25M","-2.98%"
"17/09/2021","38,550","38,500","39,150","38,000","3.73M","0.39%"
"16/09/2021","38,400","38,100","38,800","38,100","2.23M","-0.26%"
"15/09/2021","38,500","37,450","38,800","37,450","2.47M","1.32%"
"14/09/2021","38,000","37,500","38,300","37,100","3.67M","0.80%"
"13/09/2021","37,700","39,200","39,300","37,500","7.51M","-4.07%"
"10/09/2021","39,300","40,000","40,000","39,200","3.42M","-1.63%"
"09/09/2021","39,950","39,050","39,950","38,900","4.01M","2.44%"
"08/09/2021","39,000","38,900","39,700","38,500","4.27M","0.39%"
"07/09/2021","38,850","39,300","39,950","38,650","6.22M","-1.15%"
"06/09/2021","39,300","41,000","41,000","39,300","6.79M","-2.00%"
"01/09/2021","40,100","38,000","40,500","38,000","8.43M","3.48%"
"31/08/2021","38,750","37,600","39,900","37,350","9.61M","3.06%"
"30/08/2021","37,600","37,950","38,300","37,200","5.45M","0.53%"
"27/08/2021","37,400","35,000","37,400","34,500","7.52M","5.35%"
"26/08/2021","35,500","35,600","36,400","35,150","4.53M","0.85%"
