"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","142,500","149,000","151,500","142,500","1.57M","-5.00%"
"10/03/2022","150,000","155,700","158,300","150,000","1.25M","-3.54%"
"09/03/2022","155,500","158,500","159,900","154,500","875.10K","-2.08%"
"08/03/2022","158,800","158,000","160,100","157,500","634.30K","0.38%"
"07/03/2022","158,200","159,700","162,400","158,000","942.30K","-1.92%"
"04/03/2022","161,300","159,500","162,800","158,000","1.20M","1.38%"
"03/03/2022","159,100","158,700","162,000","156,700","752.90K","1.34%"
"02/03/2022","157,000","155,000","158,000","155,000","822.90K","0.32%"
"01/03/2022","156,500","157,000","157,500","155,500","360.00K","0.32%"
"28/02/2022","156,000","158,000","159,900","156,000","426.90K","-1.27%"
"25/02/2022","158,000","161,000","161,000","158,000","572.50K","-0.94%"
"24/02/2022","159,500","156,500","163,000","155,600","989.00K","1.46%"
"23/02/2022","157,200","157,400","159,500","156,500","459.60K","-0.19%"
"22/02/2022","157,500","156,300","159,800","156,300","559.10K","-1.75%"
"21/02/2022","160,300","163,400","163,400","160,100","957.20K","-1.84%"
"18/02/2022","163,300","160,000","165,000","158,800","1.18M","0.18%"
"17/02/2022","163,000","158,000","163,000","157,700","1.67M","3.10%"
"16/02/2022","158,100","160,000","160,000","157,500","823.20K","-1.50%"
"15/02/2022","160,500","151,800","160,500","150,000","1.58M","5.87%"
"14/02/2022","151,600","148,500","151,600","148,100","925.70K","1.20%"
"11/02/2022","149,800","150,000","151,500","148,100","487.50K","0.13%"
"10/02/2022","149,600","148,000","149,600","146,900","1.43M","2.05%"
"09/02/2022","146,600","146,500","148,500","145,000","585.50K","0.76%"
"08/02/2022","145,500","146,400","147,700","145,000","502.00K","-1.62%"
"07/02/2022","147,900","145,000","148,500","143,000","611.90K","3.43%"
"28/01/2022","143,000","143,100","147,200","143,000","356.90K","0.70%"
"27/01/2022","142,000","146,500","146,500","142,000","727.70K","-3.40%"
"26/01/2022","147,000","154,400","154,400","147,000","969.40K","-3.92%"
"25/01/2022","153,000","144,000","153,000","141,100","1.05M","6.99%"
"24/01/2022","143,000","148,300","150,200","143,000","952.70K","-5.30%"
"21/01/2022","151,000","152,400","152,400","149,200","869.40K","1.21%"
"20/01/2022","149,200","150,000","151,000","148,000","874.80K","1.15%"
"19/01/2022","147,500","141,200","151,500","141,200","1.27M","3.80%"
"18/01/2022","142,100","140,000","151,900","139,500","872.60K","0.07%"
"17/01/2022","142,000","145,000","145,800","136,900","829.90K","-1.93%"
"14/01/2022","144,800","142,100","145,000","142,100","490.80K","0.00%"
"13/01/2022","144,800","145,000","146,800","141,600","974.50K","-0.07%"
"12/01/2022","144,900","145,500","147,800","144,700","1.06M","0.00%"
"11/01/2022","144,900","153,000","154,000","144,900","1.35M","-5.29%"
"10/01/2022","153,000","155,900","155,900","153,000","445.40K","-0.65%"
"07/01/2022","154,000","155,900","159,500","154,000","1.31M","0.13%"
"06/01/2022","153,800","161,000","161,000","153,800","1.65M","-4.47%"
"05/01/2022","161,000","171,000","171,000","161,000","1.26M","-5.29%"
"04/01/2022","170,000","171,000","171,000","169,000","998.00K","-0.58%"
"31/12/2021","171,000","169,800","171,600","168,700","6.54M","-0.29%"
"30/12/2021","171,500","172,000","172,800","169,000","5.09M","-0.29%"
"29/12/2021","172,000","171,500","174,100","169,500","6.22M","0.29%"
"28/12/2021","171,500","169,500","174,800","167,200","7.69M","1.48%"
"27/12/2021","169,000","170,900","175,000","168,100","7.12M","-1.17%"
"24/12/2021","171,000","171,000","175,000","168,100","7.73M","0.00%"
"23/12/2021","171,000","169,900","175,000","166,600","9.87M","0.59%"
"22/12/2021","170,000","168,000","171,000","166,200","8.68M","2.04%"
"21/12/2021","166,600","162,000","166,700","160,000","7.52M","2.84%"
"20/12/2021","162,000","162,000","162,900","157,500","5.03M","2.86%"
"17/12/2021","157,500","159,700","161,600","157,200","2.98M","-1.56%"
"16/12/2021","160,000","161,000","161,900","152,200","957.30K","-0.62%"
"15/12/2021","161,000","156,000","161,000","156,000","1.23M","2.55%"
"14/12/2021","157,000","155,900","157,500","155,700","942.30K","0.64%"
"13/12/2021","156,000","154,100","157,400","153,800","1.46M","1.50%"
"10/12/2021","153,700","153,000","154,000","150,200","996.40K","-0.19%"
"09/12/2021","154,000","150,000","154,000","150,000","784.40K","1.92%"
"08/12/2021","151,100","151,200","152,000","151,100","648.40K","-0.53%"
"07/12/2021","151,900","150,500","152,500","150,500","569.70K","0.60%"
"06/12/2021","151,000","151,000","153,000","145,000","1.10M","0.00%"
"03/12/2021","151,000","152,000","155,500","151,000","1.15M","-0.66%"
"02/12/2021","152,000","150,000","153,400","150,000","1.00M","1.40%"
"01/12/2021","149,900","149,000","152,000","149,000","1.26M","0.47%"
"30/11/2021","149,200","152,700","153,900","149,200","1.49M","-2.16%"
"29/11/2021","152,500","155,000","156,000","152,100","1.47M","-3.17%"
"26/11/2021","157,500","156,000","157,500","155,200","1.13M","0.00%"
"25/11/2021","157,500","157,000","159,000","155,100","1.05M","0.32%"
"24/11/2021","157,000","155,500","159,700","154,100","1.30M","0.32%"
"23/11/2021","156,500","148,600","156,800","148,600","1.86M","4.40%"
"22/11/2021","149,900","147,500","149,900","147,000","634.60K","1.70%"
"19/11/2021","147,400","149,000","149,900","147,400","1.30M","-0.41%"
"18/11/2021","148,000","150,500","152,000","148,000","1.06M","-1.66%"
"17/11/2021","150,500","151,000","152,000","150,100","362.20K","-0.99%"
"16/11/2021","152,000","153,800","155,100","150,000","1.70M","-1.30%"
"15/11/2021","154,000","150,000","154,000","148,200","1.82M","2.94%"
"12/11/2021","149,600","146,900","150,100","146,800","1.46M","1.84%"
"11/11/2021","146,900","148,800","151,000","146,000","1.74M","-0.54%"
