"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","58,000.0","61,300.0","61,700.0","57,500.0","5.64M","-5.38%"
"10/03/2022","61,300.0","62,000.0","62,000.0","60,900.0","2.91M","-2.70%"
"09/03/2022","63,000.0","62,000.0","63,900.0","61,300.0","3.72M","2.77%"
"08/03/2022","61,300.0","62,500.0","63,000.0","61,300.0","2.88M","-3.16%"
"07/03/2022","63,300.0","62,800.0","64,200.0","61,800.0","6.67M","3.60%"
"04/03/2022","61,100.0","62,200.0","62,400.0","61,100.0","2.85M","-2.71%"
"03/03/2022","62,800.0","62,400.0","63,400.0","61,400.0","3.08M","2.11%"
"02/03/2022","61,500.0","63,000.0","64,100.0","61,500.0","5.37M","0.33%"
"01/03/2022","61,300.0","62,400.0","62,800.0","61,000.0","3.58M","-1.61%"
"28/02/2022","62,300.0","63,000.0","63,500.0","62,100.0","2.43M","-0.16%"
"25/02/2022","62,400.0","63,100.0","63,700.0","61,500.0","3.04M","-1.58%"
"24/02/2022","63,400.0","62,600.0","65,900.0","62,000.0","5.80M","1.44%"
"23/02/2022","62,500.0","62,600.0","64,400.0","62,400.0","4.31M","0.81%"
"22/02/2022","62,000.0","60,600.0","63,500.0","60,000.0","5.66M","3.51%"
"21/02/2022","59,900.0","60,600.0","60,700.0","59,800.0","2.33M","0.17%"
"18/02/2022","59,800.0","59,700.0","60,400.0","59,300.0","1.75M","-0.33%"
"17/02/2022","60,000.0","58,700.0","60,700.0","58,200.0","2.26M","1.69%"
"16/02/2022","59,000.0","58,300.0","59,100.0","57,700.0","1.85M","0.00%"
"15/02/2022","59,000.0","60,300.0","60,400.0","58,300.0","2.40M","-1.99%"
"14/02/2022","60,200.0","60,200.0","61,900.0","59,800.0","3.15M","1.35%"
"11/02/2022","59,400.0","60,800.0","60,900.0","59,300.0","2.72M","-1.82%"
"10/02/2022","60,500.0","59,900.0","60,700.0","59,400.0","3.21M","1.85%"
"09/02/2022","59,400.0","58,800.0","60,900.0","58,200.0","2.81M","1.02%"
"08/02/2022","58,800.0","58,100.0","59,300.0","58,100.0","1.99M","0.17%"
"07/02/2022","58,700.0","57,200.0","60,000.0","56,700.0","3.96M","4.63%"
"28/01/2022","56,100.0","57,000.0","57,500.0","55,600.0","1.43M","-1.58%"
"27/01/2022","57,000.0","58,000.0","58,000.0","57,000.0","1.93M","0.00%"
"26/01/2022","57,000.0","54,800.0","57,200.0","54,200.0","4.91M","4.78%"
"25/01/2022","54,400.0","54,100.0","54,500.0","53,600.0","977.30K","0.18%"
"24/01/2022","54,300.0","54,800.0","55,800.0","54,300.0","1.09M","-0.91%"
"21/01/2022","54,800.0","54,100.0","55,200.0","53,500.0","1.28M","1.29%"
"20/01/2022","54,100.0","54,100.0","54,500.0","53,500.0","669.60K","0.00%"
"19/01/2022","54,100.0","54,500.0","54,600.0","53,700.0","1.00M","0.19%"
"18/01/2022","54,000.0","53,300.0","54,400.0","52,900.0","1.13M","0.75%"
"17/01/2022","53,600.0","56,000.0","56,500.0","53,500.0","1.81M","-2.55%"
"14/01/2022","55,000.0","54,000.0","55,000.0","53,700.0","884.00K","1.48%"
"13/01/2022","54,200.0","55,000.0","55,500.0","54,100.0","1.06M","-1.09%"
"12/01/2022","54,800.0","56,000.0","56,000.0","53,700.0","1.39M","1.29%"
"11/01/2022","54,100.0","54,900.0","55,300.0","54,000.0","1.12M","-1.64%"
"10/01/2022","55,000.0","56,700.0","56,900.0","55,000.0","1.50M","-2.31%"
"07/01/2022","56,300.0","55,900.0","56,700.0","55,700.0","1.52M","1.44%"
"06/01/2022","55,500.0","55,700.0","56,700.0","55,200.0","1.24M","-0.36%"
