,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
0,"26,360.0","34,308.5","60,500.0","29,403.0","65,930.9","91,100.0","30,900","21,320.0","34,217.5","28,318.0","28,250.0","87,300","87,223","46,249","54,691.9","55,600.0","83,600.0","13,750.0","178,000","22,516.6","19,200.0","40,050.0","21,185.2","74,167","76,017","94,133","135,000","102,200.0","24,722.5","34,650.0"
1,"26,800.0","34,031.5","60,100.0","29,441.0","65,930.9","91,100.0","30,300","21,320.0","34,254.3","28,500.0","28,900.0","88,500","88,288","46,080","54,529.2","57,100.0","84,100.0","13,700.0","177,000","22,314.9","18,900.0","40,100.0","21,259.3","74,555","75,941","94,222","135,000","102,200.0","24,889.2","34,450.0"
2,"26,760.0","33,556.6","59,600.0","29,209.0","69,809.2","90,300.0","29,450","21,440.0","33,959.7","28,409.0","28,650.0","88,000","88,620","45,517","54,610.6","57,800.0","83,500.0","13,600.0","180,600","21,978.9","18,900.0","39,850.0","21,111.1","74,090","75,713","93,689","134,600","101,000.0","24,639.2","34,800.0"
3,"26,800.0","34,268.9","59,600.0","30,642.0","69,636.8","92,800.0","29,700","22,000.0","34,107.0","28,636.0","29,000.0","88,000","88,354","45,292","54,691.9","57,800.0","83,600.0","13,950.0","179,200","21,911.7","19,600.0","40,300.0","21,259.3","74,013","75,561","93,067","133,500","100,500.0","24,778.0","34,850.0"
4,"27,160.0","35,614.3","60,700.0","31,378.0","69,809.2","91,800.0","30,700","22,000.0","34,328.0","29,273.0","29,200.0","89,700","88,886","45,686","55,343.0","57,700.0","84,900.0","13,850.0","180,600","22,382.2","19,700.0","41,950.0","21,481.5","75,484","75,865","94,756","134,900","102,500.0","25,472.5","35,000.0"
5,"27,040.0","35,614.3","61,000.0","31,340.0","68,775.0","90,900.0","30,000","21,720.0","34,733.1","29,500.0","29,200.0","88,700","88,487","44,448","55,750.0","56,300.0","84,600.0","13,400.0","180,000","22,382.2","19,600.0","42,000.0","21,407.4","72,929","74,420","96,356","130,500","101,700.0","25,111.4","34,000.0"
6,"26,720.0","35,337.3","62,200.0","31,843.0","67,826.9","90,500.0","29,700","21,560.0","34,438.5","29,091.0","28,650.0","88,100","87,755","45,461","54,936.1","56,000.0","84,200.0","13,550.0","179,000","22,449.4","19,200.0","41,300.0","21,333.3","75,096","75,561","95,378","132,700","100,800.0","24,944.7","34,600.0"
7,"26,400.0","34,585.5","61,700.0","31,378.0","67,913.1","91,800.0","29,350","21,200.0","34,328.0","28,545.0","28,350.0","86,500","87,156","45,011","56,580.1","57,200.0","84,200.0","13,300.0","178,000","22,113.3","18,800.0","40,450.0","20,963.0","74,167","75,104","94,667","131,000","100,200.0","24,722.5","34,150.0"
8,"25,960.0","33,358.8","59,500.0","30,216.0","66,361.8","90,100.0","28,150","20,400.0","33,480.8","28,091.0","27,600.0","85,100","86,425","44,898","56,132.5","56,300.0","84,100.0","12,750.0","175,500","21,037.9","18,400.0","39,300.0","19,963.0","73,316","73,963","95,911","128,000","98,700.0","24,500.3","33,400.0"
9,"25,640.0","33,437.9","59,400.0","30,526.0","66,017.1","90,300.0","27,600","20,480.0","33,149.3","28,091.0","27,550.0","86,000","85,693","45,011","55,684.9","56,200.0","85,000.0","12,600.0","175,000","20,701.8","18,750.0","39,350.0","19,925.9","73,626","73,582","98,133","128,100","98,500.0","24,028.0","32,850.0"
