,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
0,26360.0,34308.5,60500.0,29403.0,65930.9,91100.0,30900.0,21320.0,34217.5,28318.0,28250.0,87300.0,87223.0,46249.0,54691.9,55600.0,83600.0,13750.0,178000.0,22516.6,19200.0,40050.0,21185.2,74167.0,76017.0,94133.0,135000.0,102200.0,24722.5,34650.0
1,26800.0,34031.5,60100.0,29441.0,65930.9,91100.0,30300.0,21320.0,34254.3,28500.0,28900.0,88500.0,88288.0,46080.0,54529.2,57100.0,84100.0,13700.0,177000.0,22314.9,18900.0,40100.0,21259.3,74555.0,75941.0,94222.0,135000.0,102200.0,24889.2,34450.0
2,26760.0,33556.6,59600.0,29209.0,69809.2,90300.0,29450.0,21440.0,33959.7,28409.0,28650.0,88000.0,88620.0,45517.0,54610.6,57800.0,83500.0,13600.0,180600.0,21978.9,18900.0,39850.0,21111.1,74090.0,75713.0,93689.0,134600.0,101000.0,24639.2,34800.0
3,26800.0,34268.9,59600.0,30642.0,69636.8,92800.0,29700.0,22000.0,34107.0,28636.0,29000.0,88000.0,88354.0,45292.0,54691.9,57800.0,83600.0,13950.0,179200.0,21911.7,19600.0,40300.0,21259.3,74013.0,75561.0,93067.0,133500.0,100500.0,24778.0,34850.0
4,27160.0,35614.3,60700.0,31378.0,69809.2,91800.0,30700.0,22000.0,34328.0,29273.0,29200.0,89700.0,88886.0,45686.0,55343.0,57700.0,84900.0,13850.0,180600.0,22382.2,19700.0,41950.0,21481.5,75484.0,75865.0,94756.0,134900.0,102500.0,25472.5,35000.0
5,27040.0,35614.3,61000.0,31340.0,68775.0,90900.0,30000.0,21720.0,34733.1,29500.0,29200.0,88700.0,88487.0,44448.0,55750.0,56300.0,84600.0,13400.0,180000.0,22382.2,19600.0,42000.0,21407.4,72929.0,74420.0,96356.0,130500.0,101700.0,25111.4,34000.0
6,26720.0,35337.3,62200.0,31843.0,67826.9,90500.0,29700.0,21560.0,34438.5,29091.0,28650.0,88100.0,87755.0,45461.0,54936.1,56000.0,84200.0,13550.0,179000.0,22449.4,19200.0,41300.0,21333.3,75096.0,75561.0,95378.0,132700.0,100800.0,24944.7,34600.0
7,26400.0,34585.5,61700.0,31378.0,67913.1,91800.0,29350.0,21200.0,34328.0,28545.0,28350.0,86500.0,87156.0,45011.0,56580.1,57200.0,84200.0,13300.0,178000.0,22113.3,18800.0,40450.0,20963.0,74167.0,75104.0,94667.0,131000.0,100200.0,24722.5,34150.0
8,25960.0,33358.8,59500.0,30216.0,66361.8,90100.0,28150.0,20400.0,33480.8,28091.0,27600.0,85100.0,86425.0,44898.0,56132.5,56300.0,84100.0,12750.0,175500.0,21037.9,18400.0,39300.0,19963.0,73316.0,73963.0,95911.0,128000.0,98700.0,24500.3,33400.0
9,25640.0,33437.9,59400.0,30526.0,66017.1,90300.0,27600.0,20480.0,33149.3,28091.0,27550.0,86000.0,85693.0,45011.0,55684.9,56200.0,85000.0,12600.0,175000.0,20701.8,18750.0,39350.0,19925.9,73626.0,73582.0,98133.0,128100.0,98500.0,24028.0,32850.0
