"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","57,000.0","57,100.0","58,300.0","56,800.0","646.00K","-0.70%"
"10/03/2022","57,400.0","57,500.0","57,500.0","56,500.0","704.50K","1.77%"
"09/03/2022","56,400.0","58,300.0","58,700.0","56,400.0","1.80M","-3.42%"
"08/03/2022","58,400.0","58,200.0","59,500.0","58,200.0","647.60K","-0.85%"
"07/03/2022","58,900.0","60,200.0","60,200.0","58,800.0","868.70K","-1.34%"
"04/03/2022","59,700.0","58,500.0","60,200.0","58,400.0","1.26M","1.19%"
"03/03/2022","59,000.0","59,100.0","59,700.0","58,300.0","928.60K","0.00%"
"02/03/2022","59,000.0","59,700.0","60,400.0","59,000.0","1.10M","-1.34%"
"01/03/2022","59,800.0","59,300.0","61,000.0","59,200.0","1.58M","1.18%"
"28/02/2022","59,100.0","58,800.0","59,500.0","58,300.0","712.80K","0.17%"
"25/02/2022","59,000.0","59,000.0","60,100.0","58,700.0","1.06M","0.00%"
"24/02/2022","59,000.0","57,600.0","59,400.0","57,300.0","2.66M","2.43%"
"23/02/2022","57,600.0","56,300.0","57,900.0","56,300.0","970.80K","2.31%"
"22/02/2022","56,300.0","56,900.0","57,100.0","55,900.0","1.15M","-1.57%"
"21/02/2022","57,200.0","57,300.0","57,500.0","56,800.0","625.70K","-0.17%"
"18/02/2022","57,300.0","56,800.0","58,000.0","56,400.0","860.80K","0.70%"
"17/02/2022","56,900.0","57,700.0","57,800.0","56,800.0","712.30K","-0.87%"
"16/02/2022","57,400.0","55,400.0","57,400.0","54,800.0","1.91M","4.74%"
"15/02/2022","54,800.0","54,300.0","54,900.0","54,000.0","450.50K","1.11%"
"14/02/2022","54,200.0","54,200.0","55,300.0","53,800.0","682.40K","-1.63%"
"11/02/2022","55,100.0","55,300.0","55,500.0","54,800.0","410.20K","-0.54%"
"10/02/2022","55,400.0","55,900.0","56,000.0","55,000.0","582.90K","-0.89%"
"09/02/2022","55,900.0","55,400.0","56,500.0","55,200.0","893.70K","0.90%"
"08/02/2022","55,400.0","55,500.0","55,900.0","54,700.0","755.70K","-0.18%"
"07/02/2022","55,500.0","55,500.0","56,000.0","54,800.0","882.50K","2.02%"
"28/01/2022","54,400.0","53,900.0","54,700.0","53,800.0","528.10K","1.12%"
"27/01/2022","53,800.0","52,900.0","54,600.0","52,300.0","722.20K","1.51%"
"26/01/2022","53,000.0","52,200.0","53,300.0","51,000.0","790.00K","2.71%"
"25/01/2022","51,600.0","50,800.0","51,800.0","50,400.0","457.20K","0.98%"
"24/01/2022","51,100.0","52,200.0","52,500.0","51,000.0","664.50K","-2.67%"
"21/01/2022","52,500.0","52,200.0","52,900.0","52,100.0","484.00K","0.38%"
"20/01/2022","52,300.0","52,400.0","52,700.0","51,700.0","432.70K","0.77%"
"19/01/2022","51,900.0","51,600.0","52,400.0","51,400.0","459.70K","0.58%"
"18/01/2022","51,600.0","52,700.0","53,200.0","51,200.0","849.50K","-2.09%"
"17/01/2022","52,700.0","54,900.0","54,900.0","52,600.0","646.60K","-2.77%"
"14/01/2022","54,200.0","53,500.0","55,000.0","53,500.0","542.70K","0.37%"
"13/01/2022","54,000.0","54,600.0","55,900.0","54,000.0","987.40K","0.00%"
"12/01/2022","54,000.0","54,000.0","54,700.0","52,500.0","833.50K","0.37%"
"11/01/2022","53,800.0","54,700.0","55,000.0","52,800.0","783.60K","-1.65%"
"10/01/2022","54,700.0","55,600.0","55,800.0","54,700.0","889.00K","-1.62%"
"07/01/2022","55,600.0","56,500.0","56,900.0","55,100.0","1.01M","-1.07%"
"06/01/2022","56,200.0","56,600.0","56,700.0","55,900.0","700.80K","-0.71%"
"05/01/2022","56,600.0","57,000.0","57,500.0","56,400.0","825.20K","-0.53%"
"04/01/2022","56,900.0","56,000.0","57,400.0","56,000.0","623.00K","1.61%"
"31/12/2021","56,000.0","55,200.0","56,200.0","55,200.0","815.80K","1.63%"
"30/12/2021","55,100.0","55,400.0","55,600.0","55,000.0","675.80K","-0.18%"
"29/12/2021","55,200.0","55,800.0","55,900.0","55,000.0","830.90K","-0.90%"
"28/12/2021","55,700.0","56,000.0","56,100.0","55,500.0","663.00K","-0.71%"
"27/12/2021","56,100.0","56,500.0","56,600.0","55,500.0","557.00K","0.18%"
"24/12/2021","56,000.0","55,200.0","56,200.0","54,700.0","898.70K","2.00%"
"23/12/2021","54,900.0","56,500.0","56,700.0","54,900.0","1.20M","-2.83%"
"22/12/2021","56,500.0","57,000.0","57,600.0","56,100.0","884.60K","-0.88%"
"21/12/2021","57,000.0","56,300.0","57,600.0","55,900.0","1.42M","0.71%"
"20/12/2021","56,600.0","57,800.0","58,100.0","56,000.0","1.11M","-1.74%"
"17/12/2021","57,600.0","58,000.0","58,500.0","57,500.0","739.30K","-0.69%"
"16/12/2021","58,000.0","59,000.0","59,000.0","57,900.0","413.60K","-0.34%"
"15/12/2021","58,200.0","58,500.0","58,600.0","57,500.0","630.00K","-0.51%"
"14/12/2021","58,500.0","59,000.0","59,000.0","58,000.0","562.10K","-1.18%"
"13/12/2021","59,200.0","59,200.0","59,700.0","58,600.0","655.50K","0.68%"
"10/12/2021","58,800.0","58,000.0","59,300.0","57,900.0","639.50K","1.73%"
"09/12/2021","57,800.0","57,700.0","58,100.0","57,300.0","741.80K","0.17%"
"08/12/2021","57,700.0","58,400.0","58,600.0","57,600.0","581.50K","-1.20%"
"07/12/2021","58,400.0","57,800.0","58,500.0","57,500.0","665.90K","1.57%"
"06/12/2021","57,500.0","57,800.0","58,400.0","55,300.0","1.62M","-0.52%"
"03/12/2021","57,800.0","61,100.0","61,100.0","57,800.0","1.68M","-4.62%"
"02/12/2021","60,600.0","61,100.0","61,500.0","60,600.0","611.30K","-0.82%"
"01/12/2021","61,100.0","61,200.0","61,500.0","60,200.0","1.26M","0.16%"
"30/11/2021","61,000.0","62,400.0","62,800.0","60,500.0","1.35M","-1.61%"
"29/11/2021","62,000.0","61,300.0","62,800.0","61,000.0","938.20K","-0.32%"
"26/11/2021","62,200.0","63,500.0","63,500.0","61,500.0","1.09M","-1.43%"
"25/11/2021","63,100.0","62,900.0","64,400.0","62,900.0","1.30M","0.48%"
"24/11/2021","62,800.0","62,500.0","62,800.0","61,800.0","1.04M","0.64%"
"23/11/2021","62,400.0","59,800.0","62,400.0","59,800.0","1.08M","3.65%"
"22/11/2021","60,200.0","60,600.0","61,500.0","59,000.0","1.68M","-1.47%"
"19/11/2021","61,100.0","63,900.0","64,200.0","59,800.0","3.55M","-4.83%"
"18/11/2021","64,200.0","64,300.0","64,700.0","63,500.0","1.08M","0.00%"
"17/11/2021","64,200.0","65,300.0","65,500.0","64,200.0","963.20K","-0.62%"
"16/11/2021","64,600.0","63,000.0","66,200.0","62,800.0","2.63M","3.03%"
"15/11/2021","62,700.0","64,400.0","64,400.0","62,500.0","1.17M","-0.16%"
"12/11/2021","62,800.0","63,000.0","63,400.0","62,200.0","1.43M","-0.63%"
"11/11/2021","63,200.0","64,300.0","64,500.0","62,600.0","1.27M","-2.02%"
"10/11/2021","64,500.0","64,700.0","65,100.0","63,800.0","1.09M","-0.46%"
"09/11/2021","64,800.0","63,600.0","66,200.0","63,600.0","2.08M","2.05%"
"08/11/2021","63,500.0","64,000.0","64,300.0","63,100.0","868.70K","-0.78%"
"05/11/2021","64,000.0","63,700.0","64,500.0","63,500.0","993.30K","0.79%"
"04/11/2021","63,500.0","64,000.0","64,700.0","63,500.0","992.70K","0.00%"
"03/11/2021","63,500.0","64,800.0","65,400.0","63,500.0","1.82M","-2.01%"
"02/11/2021","64,800.0","64,100.0","64,800.0","63,800.0","1.52M","1.09%"
"01/11/2021","64,100.0","64,700.0","65,800.0","64,000.0","1.78M","-0.93%"
"29/10/2021","64,700.0","65,900.0","66,000.0","64,600.0","1.71M","-1.37%"
"28/10/2021","65,600.0","64,900.0","66,100.0","64,000.0","2.03M","1.08%"
"27/10/2021","64,900.0","64,300.0","65,600.0","63,900.0","1.39M","0.93%"
"26/10/2021","64,300.0","65,400.0","66,500.0","64,000.0","2.03M","-0.31%"
"25/10/2021","64,500.0","62,200.0","64,500.0","62,000.0","4.46M","6.97%"
"22/10/2021","60,300.0","60,000.0","60,800.0","59,700.0","921.20K","0.50%"
"21/10/2021","60,000.0","60,500.0","60,900.0","59,700.0","746.00K","-0.83%"
"20/10/2021","60,500.0","61,400.0","61,800.0","59,700.0","1.08M","-1.47%"
"19/10/2021","61,400.0","60,000.0","61,700.0","59,200.0","2.03M","3.02%"
"18/10/2021","59,600.0","59,700.0","60,800.0","59,000.0","1.44M","-0.33%"
"15/10/2021","59,800.0","60,100.0","60,500.0","59,500.0","1.33M","-0.17%"
"14/10/2021","59,900.0","60,100.0","60,700.0","59,900.0","1.62M","-0.17%"
"13/10/2021","60,000.0","61,600.0","61,900.0","60,000.0","1.56M","-3.07%"
"12/10/2021","61,900.0","62,200.0","62,400.0","60,800.0","1.32M","-0.16%"
"11/10/2021","62,000.0","61,500.0","62,000.0","60,500.0","1.54M","1.31%"
"08/10/2021","61,200.0","62,000.0","62,800.0","60,800.0","1.69M","-1.13%"
"07/10/2021","61,900.0","60,600.0","62,500.0","60,600.0","2.30M","1.48%"
"06/10/2021","61,000.0","60,100.0","61,500.0","60,000.0","1.66M","1.84%"
"05/10/2021","59,900.0","59,700.0","60,400.0","59,400.0","1.15M","0.67%"
"04/10/2021","59,500.0","58,000.0","60,600.0","58,000.0","3.17M","2.76%"
"01/10/2021","57,900.0","58,000.0","58,500.0","57,400.0","1.25M","-0.86%"
"30/09/2021","58,400.0","58,700.0","59,500.0","58,400.0","1.59M","0.69%"
"29/09/2021","58,000.0","58,400.0","59,000.0","57,600.0","1.07M","-1.19%"
"28/09/2021","58,700.0","56,500.0","58,900.0","55,700.0","1.68M","3.89%"
"27/09/2021","56,500.0","58,100.0","58,800.0","56,500.0","2.06M","-3.91%"
"24/09/2021","58,800.0","58,000.0","59,400.0","57,600.0","1.59M","1.73%"
"23/09/2021","57,800.0","59,500.0","59,500.0","57,700.0","1.95M","-2.03%"
"22/09/2021","59,000.0","56,000.0","59,100.0","56,000.0","4.58M","5.92%"
"21/09/2021","55,700.0","53,200.0","55,800.0","53,200.0","1.97M","3.34%"
"20/09/2021","53,900.0","54,500.0","54,700.0","53,600.0","898.70K","0.56%"
"17/09/2021","53,600.0","54,100.0","55,700.0","53,600.0","2.25M","-1.65%"
"16/09/2021","54,500.0","54,200.0","54,900.0","54,000.0","499.10K","0.74%"
"15/09/2021","54,100.0","54,000.0","54,100.0","53,000.0","829.00K","0.19%"
"14/09/2021","54,000.0","54,600.0","55,000.0","53,800.0","755.30K","-1.10%"
"13/09/2021","54,600.0","56,000.0","56,000.0","54,600.0","950.40K","-2.50%"
"10/09/2021","56,000.0","54,900.0","56,200.0","54,500.0","921.40K","2.00%"
"09/09/2021","54,900.0","54,500.0","55,400.0","54,000.0","586.80K","1.29%"
"08/09/2021","54,200.0","55,300.0","55,400.0","54,000.0","1.20M","-1.99%"
"07/09/2021","55,300.0","56,100.0","56,500.0","55,100.0","1.46M","-1.95%"
"06/09/2021","56,400.0","56,900.0","57,200.0","56,300.0","845.10K","-0.70%"
"01/09/2021","56,800.0","57,300.0","57,300.0","56,500.0","1.25M","-0.35%"
"31/08/2021","57,000.0","56,000.0","57,500.0","55,900.0","2.58M","3.64%"
"30/08/2021","55,000.0","53,600.0","55,000.0","53,600.0","1.46M","3.00%"
"27/08/2021","53,400.0","52,100.0","53,600.0","52,000.0","656.90K","1.52%"
"26/08/2021","52,600.0","52,900.0","53,800.0","52,500.0","591.40K","-0.19%"
"25/08/2021","52,700.0","52,600.0","53,000.0","52,100.0","336.10K","0.19%"
"24/08/2021","52,600.0","52,000.0","52,600.0","51,600.0","765.10K","1.15%"
"23/08/2021","52,000.0","53,200.0","53,200.0","52,000.0","1.18M","-2.62%"
"20/08/2021","53,400.0","55,000.0","55,300.0","51,900.0","1.58M","-2.91%"
"19/08/2021","55,000.0","54,900.0","55,200.0","54,500.0","779.40K","0.55%"
"18/08/2021","54,700.0","54,000.0","55,300.0","53,900.0","1.30M","2.05%"
"17/08/2021","53,600.0","54,200.0","54,300.0","53,600.0","884.10K","-1.11%"
"16/08/2021","54,200.0","54,500.0","54,900.0","53,900.0","1.05M","-0.37%"
"13/08/2021","54,400.0","55,200.0","55,200.0","53,900.0","828.90K","-1.63%"
"12/08/2021","55,300.0","54,200.0","55,500.0","54,200.0","1.43M","2.03%"
"11/08/2021","54,200.0","53,600.0","54,800.0","53,400.0","1.35M","1.50%"
"10/08/2021","53,400.0","54,000.0","54,400.0","53,200.0","694.40K","-0.93%"
"09/08/2021","53,900.0","53,200.0","54,200.0","53,100.0","736.80K","0.19%"
"06/08/2021","53,800.0","53,500.0","54,000.0","52,700.0","1.13M","0.37%"
"05/08/2021","53,600.0","53,400.0","53,700.0","53,100.0","659.80K","-0.37%"
"04/08/2021","53,800.0","53,000.0","54,000.0","52,700.0","1.16M","2.09%"
"03/08/2021","52,700.0","52,600.0","53,500.0","52,500.0","711.90K","0.76%"
"02/08/2021","52,300.0","51,700.0","52,900.0","51,200.0","981.30K","2.35%"
"30/07/2021","51,100.0","50,400.0","51,500.0","50,400.0","960.30K","1.39%"
"29/07/2021","50,400.0","50,500.0","50,700.0","50,200.0","427.20K","0.40%"
"28/07/2021","50,200.0","50,000.0","51,000.0","50,000.0","320.80K","-0.59%"
"27/07/2021","50,500.0","51,300.0","51,400.0","50,300.0","656.70K","-0.20%"
"26/07/2021","50,600.0","49,600.0","50,900.0","49,500.0","488.80K","0.40%"
"23/07/2021","50,400.0","50,600.0","51,500.0","50,400.0","1.06M","-0.79%"
"22/07/2021","50,800.0","49,600.0","51,000.0","49,400.0","621.40K","2.63%"
"21/07/2021","49,500.0","49,900.0","50,000.0","49,250.0","372.30K","-0.80%"
"20/07/2021","49,900.0","48,000.0","49,900.0","47,000.0","803.90K","3.96%"
"19/07/2021","48,000.0","49,900.0","50,300.0","48,000.0","1.04M","-5.88%"
"16/07/2021","51,000.0","51,000.0","51,900.0","50,700.0","1.52M","0.99%"
"15/07/2021","50,500.0","49,500.0","50,500.0","49,500.0","886.90K","1.00%"
"14/07/2021","50,000.0","50,800.0","51,200.0","49,000.0","793.30K","-1.38%"
"13/07/2021","50,700.0","50,800.0","51,400.0","49,500.0","914.20K","0.80%"
"12/07/2021","50,300.0","52,300.0","53,000.0","49,400.0","1.81M","-5.27%"
"09/07/2021","53,100.0","54,800.0","55,400.0","53,100.0","1.00M","-3.28%"
"08/07/2021","54,900.0","54,600.0","56,300.0","54,400.0","1.04M","0.73%"
"07/07/2021","54,500.0","55,900.0","55,900.0","53,700.0","2.06M","-2.50%"
"06/07/2021","55,900.0","58,100.0","58,800.0","55,900.0","2.89M","-4.12%"
"05/07/2021","58,300.0","59,100.0","59,100.0","57,700.0","1.03M","-1.35%"
"02/07/2021","59,100.0","59,500.0","59,900.0","58,600.0","959.50K","0.17%"
"01/07/2021","59,000.0","58,900.0","59,300.0","58,000.0","1.07M","1.03%"
"30/06/2021","58,400.0","59,100.0","59,400.0","58,400.0","804.40K","-1.18%"
"29/06/2021","59,100.0","60,000.0","60,200.0","58,900.0","930.90K","-1.50%"
"28/06/2021","60,000.0","59,000.0","60,300.0","58,400.0","1.03M","2.92%"
"25/06/2021","58,300.0","58,000.0","58,500.0","57,100.0","1.04M","0.52%"
"24/06/2021","58,000.0","58,500.0","59,800.0","57,900.0","1.28M","-1.36%"
"23/06/2021","58,800.0","60,500.0","60,500.0","58,000.0","1.58M","-1.84%"
"22/06/2021","59,900.0","60,500.0","61,000.0","59,800.0","1.48M","0.34%"
"21/06/2021","59,700.0","61,000.0","61,000.0","59,200.0","1.61M","-2.13%"
"18/06/2021","61,000.0","62,000.0","62,300.0","61,000.0","1.36M","-1.61%"
"17/06/2021","62,000.0","59,300.0","62,000.0","59,100.0","1.93M","2.82%"
"16/06/2021","60,300.0","61,000.0","61,500.0","60,000.0","1.46M","-1.47%"
"15/06/2021","61,200.0","60,000.0","61,500.0","59,700.0","2.25M","2.00%"
"14/06/2021","60,000.0","58,500.0","60,700.0","58,000.0","3.39M","4.71%"
"11/06/2021","57,300.0","56,000.0","57,600.0","55,900.0","1.43M","3.24%"
"10/06/2021","55,500.0","56,400.0","56,400.0","55,200.0","1.01M","-1.60%"
"09/06/2021","56,400.0","56,600.0","56,700.0","55,000.0","1.09M","-1.05%"
"08/06/2021","57,000.0","58,500.0","59,500.0","56,300.0","1.33M","-2.56%"
"07/06/2021","58,500.0","57,500.0","59,500.0","57,200.0","2.32M","2.45%"
"04/06/2021","57,100.0","55,000.0","57,500.0","55,000.0","2.01M","4.01%"
"03/06/2021","54,900.0","54,000.0","55,500.0","53,800.0","823.80K","2.43%"
"02/06/2021","53,600.0","53,600.0","53,700.0","53,100.0","658.10K","0.00%"
"01/06/2021","53,600.0","54,100.0","54,500.0","53,400.0","680.90K","-0.92%"
"31/05/2021","54,100.0","55,000.0","55,400.0","54,000.0","653.80K","-2.52%"
"28/05/2021","55,500.0","56,100.0","56,100.0","55,200.0","499.30K","-1.07%"
"27/05/2021","56,100.0","55,400.0","56,800.0","51,700.0","1.11M","1.08%"
"26/05/2021","55,500.0","55,300.0","56,200.0","55,200.0","925.90K","0.54%"
"25/05/2021","55,200.0","54,300.0","55,800.0","54,200.0","939.40K","1.66%"
"24/05/2021","54,300.0","54,700.0","54,800.0","54,000.0","461.10K","1.88%"
"21/05/2021","53,300.0","52,700.0","54,900.0","52,100.0","826.80K","0.95%"
"20/05/2021","52,800.0","53,200.0","53,400.0","52,000.0","1.02M","-0.75%"
"19/05/2021","53,200.0","54,000.0","54,000.0","53,200.0","596.10K","-1.48%"
"18/05/2021","54,000.0","54,600.0","54,800.0","53,800.0","663.20K","-1.10%"
"17/05/2021","54,600.0","55,800.0","56,000.0","54,400.0","661.30K","-2.15%"
"14/05/2021","55,800.0","55,900.0","56,400.0","55,400.0","947.90K","0.36%"
"13/05/2021","55,600.0","56,000.0","56,500.0","55,400.0","828.00K","-2.11%"
"12/05/2021","56,800.0","55,900.0","56,900.0","55,500.0","915.40K","1.43%"
"11/05/2021","56,000.0","56,600.0","57,100.0","55,600.0","1.03M","-0.18%"
"10/05/2021","56,100.0","54,000.0","56,300.0","52,800.0","1.27M","3.51%"
"07/05/2021","54,200.0","55,700.0","56,000.0","54,100.0","1.18M","-3.21%"
"06/05/2021","56,000.0","56,300.0","57,500.0","55,600.0","719.30K","-0.53%"
"05/05/2021","56,300.0","56,000.0","57,000.0","55,700.0","824.90K","1.26%"
"04/05/2021","55,600.0","56,000.0","56,300.0","55,100.0","1.16M","-2.97%"
"29/04/2021","57,300.0","57,400.0","57,900.0","56,900.0","393.80K","-0.17%"
"28/04/2021","57,400.0","57,100.0","57,400.0","56,600.0","553.20K","0.88%"
"27/04/2021","56,900.0","57,400.0","57,500.0","56,500.0","590.90K","-0.87%"
"26/04/2021","57,400.0","59,100.0","59,100.0","57,000.0","895.00K","-2.71%"
"23/04/2021","59,000.0","58,000.0","59,000.0","57,400.0","779.10K","1.72%"
"22/04/2021","58,000.0","60,000.0","60,500.0","58,000.0","1.05M","-3.33%"
"20/04/2021","60,000.0","59,700.0","61,000.0","59,300.0","1.22M","0.84%"
"19/04/2021","59,500.0","58,600.0","59,700.0","57,700.0","711.70K","2.76%"
"16/04/2021","57,900.0","59,000.0","60,000.0","57,500.0","1.37M","-2.69%"
"15/04/2021","59,500.0","61,200.0","61,400.0","59,500.0","1.39M","-1.98%"
"14/04/2021","60,700.0","60,100.0","60,700.0","59,700.0","1.35M","-0.16%"
"13/04/2021","60,800.0","62,500.0","62,500.0","60,300.0","1.53M","-2.56%"
"12/04/2021","62,400.0","62,800.0","62,800.0","61,500.0","1.04M","0.00%"
"09/04/2021","62,400.0","62,000.0","63,000.0","61,800.0","551.50K","0.00%"
"08/04/2021","62,400.0","63,600.0","63,700.0","62,000.0","713.30K","-1.58%"
"07/04/2021","63,400.0","61,600.0","63,800.0","61,600.0","2.40M","2.92%"
"06/04/2021","61,600.0","60,500.0","62,000.0","60,300.0","938.70K","1.48%"
"05/04/2021","60,700.0","63,000.0","63,000.0","60,700.0","1.02M","-1.78%"
"02/04/2021","61,800.0","61,500.0","62,600.0","61,200.0","1.38M","1.48%"
"01/04/2021","60,900.0","59,900.0","61,000.0","59,500.0","1.19M","2.18%"
"31/03/2021","59,600.0","59,800.0","60,100.0","59,100.0","571.20K","-0.67%"
"30/03/2021","60,000.0","60,000.0","60,500.0","59,400.0","882.20K","1.35%"
