"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","32,250.0","32,100.0","32,400.0","32,050.0","3.73M","0.47%"
"10/03/2022","32,100.0","32,500.0","32,700.0","32,100.0","3.81M","0.31%"
"09/03/2022","32,000.0","32,100.0","32,350.0","31,700.0","5.73M","-0.16%"
"08/03/2022","32,050.0","32,000.0","32,450.0","31,950.0","7.18M","-0.31%"
"07/03/2022","32,150.0","32,100.0","32,500.0","32,100.0","9.90M","-1.83%"
"04/03/2022","32,750.0","32,650.0","32,950.0","32,400.0","5.93M","0.46%"
"03/03/2022","32,600.0","32,100.0","32,600.0","32,050.0","6.54M","1.88%"
"02/03/2022","32,000.0","33,200.0","33,250.0","31,900.0","20.42M","-3.90%"
"01/03/2022","33,300.0","33,300.0","33,600.0","33,150.0","7.74M","0.45%"
"28/02/2022","33,150.0","33,850.0","33,850.0","33,150.0","12.72M","-2.07%"
"25/02/2022","33,850.0","34,100.0","34,300.0","33,700.0","10.21M","0.00%"
"24/02/2022","33,850.0","34,600.0","34,700.0","33,100.0","16.48M","-2.87%"
"23/02/2022","34,850.0","34,900.0","35,150.0","34,700.0","6.73M","0.72%"
"22/02/2022","34,600.0","34,000.0","34,700.0","33,750.0","9.00M","0.58%"
"21/02/2022","34,400.0","34,600.0","34,850.0","33,800.0","12.02M","-0.58%"
"18/02/2022","34,600.0","34,650.0","34,950.0","34,550.0","8.30M","-0.86%"
"17/02/2022","34,900.0","34,750.0","35,150.0","34,650.0","5.95M","0.72%"
"16/02/2022","34,650.0","35,300.0","35,400.0","34,550.0","7.86M","-0.86%"
"15/02/2022","34,950.0","34,800.0","35,200.0","34,500.0","13.31M","1.01%"
"14/02/2022","34,600.0","36,350.0","36,500.0","34,600.0","15.12M","-5.98%"
"11/02/2022","36,800.0","36,850.0","37,300.0","36,800.0","10.41M","0.14%"
"10/02/2022","36,750.0","36,400.0","36,900.0","36,100.0","8.99M","1.10%"
"09/02/2022","36,350.0","36,500.0","37,100.0","36,350.0","9.20M","-0.41%"
"08/02/2022","36,500.0","36,200.0","37,000.0","36,050.0","9.10M","0.55%"
"07/02/2022","36,300.0","37,400.0","37,400.0","36,300.0","14.88M","-1.63%"
"28/01/2022","36,900.0","36,800.0","37,400.0","36,700.0","8.73M","0.00%"
