"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","77,200","78,000","78,400","76,500","3.42M","0.26%"
"10/03/2022","77,000","77,000","79,500","76,400","5.41M","0.65%"
"09/03/2022","76,500","76,400","76,800","75,500","3.22M","0.66%"
"08/03/2022","76,000","75,600","76,400","75,100","3.46M","0.00%"
"07/03/2022","76,000","76,500","76,900","75,500","4.00M","-1.30%"
"04/03/2022","77,000","78,900","79,000","77,000","3.89M","-1.28%"
"03/03/2022","78,000","76,700","78,000","76,200","2.97M","2.09%"
"02/03/2022","76,400","75,300","77,800","75,200","3.73M","1.33%"
"01/03/2022","75,400","75,300","76,000","74,800","3.28M","0.13%"
"28/02/2022","75,300","76,500","76,600","75,000","2.86M","-1.31%"
"25/02/2022","76,300","76,500","76,500","74,400","3.72M","0.39%"
"24/02/2022","76,000","77,400","77,400","75,800","2.73M","-1.81%"
"23/02/2022","77,400","78,000","78,100","77,400","2.35M","-0.90%"
"22/02/2022","78,100","77,500","78,500","77,400","2.97M","-0.51%"
"21/02/2022","78,500","78,500","78,600","78,000","2.58M","0.00%"
"18/02/2022","78,500","78,200","78,800","77,600","3.22M","-0.63%"
"17/02/2022","79,000","78,200","79,000","77,300","3.86M","1.15%"
"16/02/2022","78,100","79,900","79,900","77,800","2.68M","-1.14%"
"15/02/2022","79,000","78,000","79,600","77,500","2.72M","1.28%"
"14/02/2022","78,000","78,000","78,400","76,700","2.81M","-0.13%"
"11/02/2022","78,100","78,500","78,500","77,700","1.98M","-0.51%"
"10/02/2022","78,500","79,100","79,100","78,000","2.96M","-0.63%"
"09/02/2022","79,000","79,700","79,800","78,300","2.66M","-0.25%"
"08/02/2022","79,200","80,000","80,000","79,100","2.14M","-1.00%"
"07/02/2022","80,000","79,500","82,000","79,500","1.99M","0.13%"
"28/01/2022","79,900","79,500","79,900","78,600","1.55M","1.14%"
"27/01/2022","79,000","79,200","80,000","78,500","2.24M","-0.50%"
"26/01/2022","79,400","79,700","79,700","78,300","1.63M","0.51%"
"25/01/2022","79,000","78,200","79,800","77,800","1.73M","1.15%"
"24/01/2022","78,100","78,500","80,000","78,100","2.84M","-2.38%"
"21/01/2022","80,000","80,200","80,200","78,600","2.61M","-0.25%"
"20/01/2022","80,200","79,500","80,200","78,300","3.50M","0.25%"
"19/01/2022","80,000","79,500","80,000","78,100","2.39M","-0.12%"
"18/01/2022","80,100","80,000","80,100","79,100","2.69M","0.13%"
"17/01/2022","80,000","82,000","83,000","78,800","2.77M","-2.44%"
"14/01/2022","82,000","82,100","83,500","81,700","3.07M","-1.80%"
"13/01/2022","83,500","84,000","84,000","82,200","2.56M","-0.36%"
"12/01/2022","83,800","83,600","84,500","82,400","2.06M","-0.83%"
"11/01/2022","84,500","83,900","85,000","82,300","2.68M","0.72%"
"10/01/2022","83,900","86,400","88,000","83,900","2.92M","-2.89%"
"07/01/2022","86,400","88,200","88,600","86,400","3.02M","-2.04%"
"06/01/2022","88,200","88,500","90,000","87,800","2.43M","-1.01%"
"05/01/2022","89,100","89,000","89,100","87,800","2.39M","0.11%"
"04/01/2022","89,000","90,500","90,500","88,500","2.54M","-2.20%"
"31/12/2021","91,000","86,300","91,000","86,100","2.91M","5.45%"
"30/12/2021","86,300","87,000","87,200","85,700","1.48M","-0.80%"
"29/12/2021","87,000","87,100","87,800","85,100","1.95M","0.00%"
"28/12/2021","87,000","89,400","89,400","87,000","1.82M","-2.25%"
"27/12/2021","89,000","88,900","89,900","87,800","1.04M","0.11%"
"24/12/2021","88,900","89,800","89,800","87,000","3.49M","3.06%"
"23/12/2021","86,260","88,550","89,695","85,115","8.06M","-3.17%"
"22/12/2021","89,084","89,313","90,000","87,405","6.74M","0.09%"
"21/12/2021","89,008","88,015","89,313","87,328","5.17M","1.13%"
"20/12/2021","88,015","87,710","88,168","86,947","3.79M","0.09%"
"17/12/2021","87,939","87,863","89,084","86,947","6.14M","0.17%"
"16/12/2021","87,786","88,397","89,313","87,023","6.12M","0.00%"
"15/12/2021","87,786","86,336","87,786","85,496","4.50M","1.68%"
"14/12/2021","86,336","84,886","87,099","84,809","6.70M","0.89%"
"13/12/2021","85,573","86,260","87,023","84,733","5.67M","-0.80%"
"10/12/2021","86,260","88,168","88,321","86,260","3.79M","-1.74%"
"09/12/2021","87,786","87,023","88,397","86,641","7.49M","0.96%"
"08/12/2021","86,947","86,260","87,023","85,115","4.54M","1.16%"
"07/12/2021","85,954","84,886","86,183","83,969","4.39M","1.44%"
"06/12/2021","84,733","83,969","86,565","83,206","7.71M","0.00%"
"03/12/2021","84,733","88,931","88,931","84,504","6.78M","-2.89%"
"02/12/2021","87,252","88,550","89,160","86,336","5.82M","0.26%"
"01/12/2021","87,023","84,733","87,786","84,351","5.03M","3.64%"
"30/11/2021","83,969","84,733","85,420","82,519","5.99M","-0.18%"
"29/11/2021","84,122","81,985","84,504","81,985","4.54M","-0.45%"
"26/11/2021","84,504","83,359","86,183","83,282","6.86M","1.56%"
"25/11/2021","83,206","81,679","83,817","81,450","5.58M","2.44%"
"24/11/2021","81,221","81,832","82,443","80,763","3.91M","0.19%"
"23/11/2021","81,069","78,015","81,069","78,015","3.89M","4.02%"
"22/11/2021","77,939","78,244","78,397","77,405","2.51M","-0.10%"
"19/11/2021","78,015","78,321","78,626","77,481","3.33M","-0.49%"
"18/11/2021","78,397","79,084","79,084","78,168","3.53M","-0.48%"
"17/11/2021","78,779","79,466","79,466","78,626","2.68M","0.10%"
"16/11/2021","78,702","79,084","79,847","78,702","3.01M","-0.48%"
"15/11/2021","79,084","81,527","81,527","79,084","3.11M","-2.26%"
"12/11/2021","80,916","80,916","81,679","80,153","1.96M","0.47%"
"11/11/2021","80,534","80,153","82,366","79,389","4.14M","1.44%"
"10/11/2021","79,389","79,084","79,847","78,626","2.77M","0.97%"
"09/11/2021","78,626","79,771","80,076","78,626","4.70M","-1.53%"
"08/11/2021","79,847","80,382","80,763","79,695","3.46M","-0.38%"
"05/11/2021","80,153","79,389","80,763","79,084","3.91M","0.96%"
"04/11/2021","79,389","80,534","81,145","79,389","4.42M","-1.14%"
"03/11/2021","80,305","82,443","82,519","80,229","7.47M","-2.68%"
"02/11/2021","82,519","82,366","83,206","82,214","4.64M","-1.37%"
"01/11/2021","83,664","84,504","84,657","83,206","4.47M","0.27%"
"29/10/2021","83,435","83,435","85,496","83,130","8.82M","1.39%"
"28/10/2021","82,290","79,389","83,969","79,160","10.00M","3.75%"
"27/10/2021","79,313","78,855","79,771","78,397","2.40M","0.58%"
"26/10/2021","78,855","79,389","79,924","78,321","3.34M","-0.48%"
"25/10/2021","79,237","79,084","80,076","78,626","4.39M","0.48%"
"22/10/2021","78,855","77,863","79,313","77,786","2.34M","1.27%"
"21/10/2021","77,863","78,244","78,321","77,634","3.42M","-0.29%"
"20/10/2021","78,092","78,321","79,237","77,481","3.21M","-0.29%"
"19/10/2021","78,321","77,786","79,389","77,252","4.56M","0.88%"
"18/10/2021","77,634","77,863","78,015","77,481","2.93M","-0.29%"
"15/10/2021","77,863","78,092","78,321","77,710","2.85M","-0.29%"
"14/10/2021","78,092","78,550","78,626","77,863","3.72M","-0.29%"
"13/10/2021","78,321","78,626","79,160","78,321","2.15M","-0.39%"
"12/10/2021","78,626","79,160","79,160","78,550","3.08M","-0.96%"
"11/10/2021","79,389","79,771","79,847","79,160","2.98M","-0.48%"
"08/10/2021","79,771","79,542","79,771","78,702","2.01M","0.38%"
"07/10/2021","79,466","80,153","80,763","79,466","3.19M","-0.86%"
"06/10/2021","80,153","80,382","80,763","79,542","4.44M","0.57%"
"05/10/2021","79,695","77,863","80,534","77,481","3.78M","2.35%"
"04/10/2021","77,863","77,405","77,863","77,252","2.30M","0.00%"
"01/10/2021","77,863","77,634","77,863","77,252","2.28M","0.00%"
"30/09/2021","77,863","77,863","77,863","77,481","1.25M","0.00%"
"29/09/2021","77,863","78,244","78,321","77,405","1.83M","-0.58%"
"28/09/2021","78,321","78,015","78,321","78,015","1.43M","0.20%"
"27/09/2021","78,168","78,473","78,550","78,092","2.10M","-0.58%"
"24/09/2021","78,626","78,550","78,626","78,168","2.80M","0.00%"
"23/09/2021","78,626","78,473","78,626","78,092","3.01M","-0.10%"
"22/09/2021","78,702","78,550","78,779","78,244","2.88M","0.10%"
"21/09/2021","78,626","78,626","78,626","78,092","3.10M","0.00%"
"20/09/2021","78,626","78,626","79,008","78,092","3.91M","-0.19%"
"17/09/2021","78,779","78,702","79,008","78,397","3.41M","0.10%"
"16/09/2021","78,702","79,008","79,160","78,321","2.50M","0.00%"
"15/09/2021","78,702","78,626","78,702","78,321","2.51M","0.10%"
"14/09/2021","78,626","78,779","78,931","78,321","2.73M","0.00%"
"13/09/2021","78,626","78,779","78,931","78,397","3.36M","-0.29%"
"10/09/2021","78,855","78,855","79,389","78,702","2.90M","0.10%"
"09/09/2021","78,779","79,237","79,618","78,779","2.84M","-0.77%"
"08/09/2021","79,389","80,000","80,076","79,389","2.62M","-0.76%"
"07/09/2021","80,000","80,000","80,534","79,618","3.05M","0.00%"
"06/09/2021","80,000","80,382","81,069","79,847","3.50M","0.10%"
"01/09/2021","79,924","79,695","80,534","79,466","2.62M","0.29%"
"31/08/2021","79,695","79,389","80,458","78,855","3.10M","0.39%"
"30/08/2021","79,389","79,237","79,618","78,931","2.66M","0.19%"
"27/08/2021","79,237","79,008","79,237","78,397","2.87M","0.10%"
"26/08/2021","79,160","80,534","80,687","79,008","3.37M","-1.71%"
"25/08/2021","80,534","80,534","81,679","80,000","3.89M","0.00%"
"24/08/2021","80,534","80,534","80,916","79,008","3.18M","0.57%"
"23/08/2021","80,076","79,160","81,069","79,008","4.47M","1.16%"
"20/08/2021","79,160","80,000","80,000","78,321","4.05M","-1.14%"
"19/08/2021","80,076","78,244","80,153","78,015","6.37M","1.84%"
"18/08/2021","78,626","79,237","79,237","78,321","3.67M","-0.19%"
"17/08/2021","78,779","79,389","79,389","78,779","2.35M","-0.58%"
"16/08/2021","79,237","79,084","79,771","78,931","2.74M","0.29%"
"13/08/2021","79,008","79,008","79,313","78,702","2.92M","-0.10%"
"12/08/2021","79,084","79,237","79,618","79,008","2.92M","-0.29%"
"11/08/2021","79,313","79,847","80,458","79,008","3.83M","-0.67%"
"10/08/2021","79,847","80,916","81,679","79,847","4.10M","-1.32%"
"09/08/2021","80,916","82,061","82,137","80,916","5.18M","-1.40%"
"06/08/2021","82,061","82,443","82,824","81,985","3.23M","-0.46%"
"05/08/2021","82,443","82,443","83,664","82,443","3.53M","0.47%"
"04/08/2021","82,061","80,763","83,893","80,458","7.54M","1.90%"
"03/08/2021","80,534","79,466","81,069","79,466","2.95M","0.86%"
"02/08/2021","79,847","79,008","81,527","78,626","3.23M","0.58%"
"30/07/2021","79,389","79,160","79,924","79,008","2.32M","0.00%"
"29/07/2021","79,389","79,695","79,847","79,160","1.61M","-0.10%"
"28/07/2021","79,466","80,153","80,153","79,466","1.89M","-2.25%"
"27/07/2021","81,298","80,153","81,527","80,153","5.20M","-0.93%"
"26/07/2021","82,061","78,550","82,061","78,168","4.64M","4.37%"
"23/07/2021","78,626","80,000","80,000","78,626","2.51M","-1.81%"
"22/07/2021","80,076","78,473","80,153","78,473","3.34M","1.75%"
"21/07/2021","78,702","78,855","79,618","78,550","3.35M","-0.39%"
"20/07/2021","79,008","78,626","79,008","77,786","3.88M","0.49%"
"19/07/2021","78,626","78,626","79,389","78,244","4.24M","-1.53%"
"16/07/2021","79,847","79,389","81,069","78,015","3.97M","0.58%"
"15/07/2021","79,389","78,626","79,389","78,244","2.52M","0.00%"
"14/07/2021","79,389","79,924","80,076","76,947","3.98M","-0.67%"
"13/07/2021","79,924","80,305","80,458","77,863","2.29M","-0.38%"
"12/07/2021","80,229","79,618","82,061","76,718","4.35M","1.55%"
"09/07/2021","79,008","85,038","85,038","78,779","6.30M","-6.59%"
"08/07/2021","84,580","87,176","89,313","83,817","12.74M","-6.10%"
"07/07/2021","90,076","89,313","90,076","88,168","4.87M","0.85%"
"06/07/2021","89,313","87,710","89,695","87,023","3.95M","1.74%"
"05/07/2021","87,786","90,153","90,229","87,252","3.21M","-3.36%"
"02/07/2021","90,840","93,053","93,053","89,313","6.72M","-0.83%"
"01/07/2021","91,603","93,969","94,351","90,992","6.03M","-0.83%"
"30/06/2021","92,366","93,130","93,130","91,603","3.37M","0.00%"
"29/06/2021","92,366","92,214","92,672","90,382","4.31M","0.83%"
"28/06/2021","91,603","91,603","93,817","91,221","3.72M","0.76%"
"25/06/2021","90,916","86,641","91,221","86,641","4.64M","3.57%"
"24/06/2021","87,786","84,428","87,786","82,748","4.23M","2.68%"
"23/06/2021","85,496","87,710","88,092","85,115","3.62M","-1.32%"
"22/06/2021","86,641","85,496","87,405","84,809","3.75M","4.13%"
"21/06/2021","83,206","79,542","83,969","79,008","6.92M","5.83%"
"18/06/2021","78,626","78,626","79,389","78,244","3.23M","0.78%"
"17/06/2021","78,015","78,626","78,702","78,015","2.19M","-1.26%"
