"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","154,000","158,800","158,800","153,700","133.70K","-1.91%"
"10/03/2022","157,000","155,000","159,000","155,000","143.00K","1.29%"
"09/03/2022","155,000","154,700","161,000","154,000","178.80K","-0.39%"
"08/03/2022","155,600","153,300","155,600","153,200","96.80K","0.65%"
"07/03/2022","154,600","157,500","159,900","153,100","286.40K","-3.38%"
"04/03/2022","160,000","166,000","166,000","160,000","111.70K","-4.25%"
"03/03/2022","167,100","168,500","168,900","167,100","23.70K","-1.12%"
"02/03/2022","169,000","167,000","169,000","166,000","93.20K","0.60%"
"01/03/2022","168,000","169,800","169,800","167,500","42.90K","-1.06%"
"28/02/2022","169,800","169,000","169,900","166,600","70.60K","0.12%"
"25/02/2022","169,600","169,200","170,000","168,000","88.00K","-0.06%"
"24/02/2022","169,700","166,100","170,400","165,500","162.70K","-0.06%"
"23/02/2022","169,800","168,100","170,400","168,100","150.80K","0.83%"
"22/02/2022","168,400","168,900","168,900","160,000","118.40K","-0.71%"
"21/02/2022","169,600","169,000","170,000","167,000","105.50K","0.12%"
"18/02/2022","169,400","168,000","169,900","166,800","189.10K","-0.65%"
"17/02/2022","170,500","167,900","172,200","167,500","311.50K","1.25%"
"16/02/2022","168,400","170,300","170,300","165,000","107.50K","-0.94%"
"15/02/2022","170,000","167,800","170,400","166,900","430.40K","1.25%"
"14/02/2022","167,900","155,200","167,900","155,200","342.50K","5.20%"
"11/02/2022","159,600","157,100","159,600","155,500","223.80K","1.66%"
"10/02/2022","157,000","154,800","157,000","151,300","208.50K","2.08%"
"09/02/2022","153,800","154,400","154,800","151,000","75.90K","-0.65%"
"08/02/2022","154,800","153,500","154,800","151,900","123.10K","1.78%"
"07/02/2022","152,100","149,500","155,000","149,500","75.70K","2.29%"
"28/01/2022","148,700","148,800","149,800","147,100","164.80K","-0.07%"
"27/01/2022","148,800","145,000","148,900","144,000","157.50K","3.55%"
"26/01/2022","143,700","145,000","145,000","143,000","130.10K","-0.90%"
"25/01/2022","145,000","144,900","148,500","142,900","155.90K","0.00%"
"24/01/2022","145,000","148,300","148,300","144,500","161.60K","-2.03%"
"21/01/2022","148,000","151,900","151,900","145,000","108.70K","-1.33%"
"20/01/2022","150,000","147,500","153,600","146,400","238.10K","0.00%"
"19/01/2022","150,000","152,000","152,000","149,000","111.50K","-0.66%"
"18/01/2022","151,000","150,100","152,900","150,100","269.40K","0.67%"
"17/01/2022","150,000","152,000","154,900","149,000","185.00K","-1.25%"
"14/01/2022","151,900","150,000","152,100","150,000","80.40K","0.60%"
"13/01/2022","151,000","153,000","153,100","151,000","120.00K","-1.18%"
"12/01/2022","152,800","152,800","152,900","150,900","163.30K","-0.07%"
"11/01/2022","152,900","152,000","153,000","150,500","129.70K","0.59%"
"10/01/2022","152,000","154,100","154,100","151,100","195.90K","-0.78%"
"07/01/2022","153,200","154,700","154,700","152,100","114.10K","-2.17%"
"06/01/2022","156,600","159,000","159,200","156,000","75.30K","-1.69%"
"05/01/2022","159,300","158,000","159,700","158,000","322.30K","1.46%"
"04/01/2022","157,000","152,000","157,500","152,000","395.30K","3.97%"
"31/12/2021","151,000","148,900","159,100","148,900","276.60K","1.41%"
"30/12/2021","148,900","149,000","149,000","148,500","82.10K","0.40%"
"29/12/2021","148,300","148,300","148,300","147,700","50.30K","0.00%"
"28/12/2021","148,300","149,500","149,500","147,500","102.00K","0.27%"
"27/12/2021","147,900","147,300","151,000","147,200","78.30K","0.61%"
"24/12/2021","147,000","146,500","148,800","146,200","137.80K","0.07%"
"23/12/2021","146,900","147,300","147,600","146,800","142.70K","-0.47%"
"22/12/2021","147,600","149,000","149,000","147,500","129.40K","-0.87%"
"21/12/2021","148,900","149,000","149,700","148,800","122.00K","-0.07%"
"20/12/2021","149,000","150,100","150,100","148,800","117.10K","-0.67%"
"17/12/2021","150,000","151,000","151,300","150,000","189.30K","-0.66%"
"16/12/2021","151,000","152,300","152,700","150,600","90.40K","-0.98%"
"15/12/2021","152,500","153,000","153,000","152,200","78.90K","-0.20%"
"14/12/2021","152,800","152,300","154,000","152,000","126.40K","0.33%"
"13/12/2021","152,300","153,000","153,300","152,300","175.10K","0.00%"
"10/12/2021","152,300","152,500","154,000","151,900","150.20K","-0.13%"
"09/12/2021","152,500","153,000","154,200","152,400","207.90K","-0.26%"
"08/12/2021","152,900","153,100","153,600","152,700","144.50K","-0.07%"
"07/12/2021","153,000","151,800","154,500","151,800","196.40K","0.92%"
"06/12/2021","151,600","156,800","156,800","151,600","121.60K","-3.44%"
"03/12/2021","157,000","159,000","159,000","157,000","102.10K","-1.26%"
"02/12/2021","159,000","156,500","160,000","156,500","206.60K","1.60%"
"01/12/2021","156,500","158,000","158,000","154,600","52.00K","1.62%"
"30/11/2021","154,000","156,300","160,000","154,000","359.30K","-1.35%"
"29/11/2021","156,100","160,000","160,000","156,100","184.30K","-2.56%"
"26/11/2021","160,200","165,600","165,600","160,000","211.80K","-2.91%"
"25/11/2021","165,000","168,000","168,000","165,000","100.60K","-1.79%"
"24/11/2021","168,000","168,000","169,000","164,100","108.20K","0.00%"
"23/11/2021","168,000","168,100","169,800","167,300","30.60K","0.00%"
"22/11/2021","168,000","167,000","169,800","164,000","155.10K","0.54%"
"19/11/2021","167,100","168,200","169,200","167,000","42.10K","-0.65%"
"18/11/2021","168,200","170,900","170,900","168,200","103.40K","-1.35%"
"17/11/2021","170,500","170,700","170,700","169,000","44.50K","-0.06%"
"16/11/2021","170,600","171,000","171,000","166,500","47.00K","0.35%"
"15/11/2021","170,000","171,900","173,000","170,000","29.30K","-1.16%"
"12/11/2021","172,000","172,000","173,900","171,900","35.80K","0.00%"
"11/11/2021","172,000","173,800","174,900","172,000","56.30K","-1.15%"
"10/11/2021","174,000","174,000","174,000","171,000","37.60K","0.00%"
"09/11/2021","174,000","173,400","174,000","171,000","62.70K","0.17%"
"08/11/2021","173,700","172,000","173,900","170,200","139.90K","0.99%"
"05/11/2021","172,000","168,100","172,000","168,100","103.30K","0.12%"
"04/11/2021","171,800","169,600","172,600","167,600","106.40K","-0.46%"
"03/11/2021","172,600","165,200","172,800","164,000","344.20K","4.48%"
"02/11/2021","165,200","162,800","165,500","162,000","126.30K","1.98%"
"01/11/2021","162,000","160,700","163,000","160,700","135.00K","0.93%"
"29/10/2021","160,500","164,600","164,600","160,500","222.20K","-2.49%"
"28/10/2021","164,600","162,000","164,800","160,200","205.90K","2.94%"
"27/10/2021","159,900","157,300","159,900","156,000","120.60K","2.90%"
"26/10/2021","155,400","156,900","157,900","155,400","73.20K","-0.83%"
"25/10/2021","156,700","156,500","158,000","156,500","40.00K","0.13%"
"22/10/2021","156,500","154,500","156,500","154,400","51.80K","2.96%"
"21/10/2021","152,000","156,200","158,500","152,000","224.70K","-2.06%"
"20/10/2021","155,200","158,500","160,300","155,100","403.60K","-2.08%"
"19/10/2021","158,500","160,100","160,100","156,000","248.20K","-0.94%"
"18/10/2021","160,000","161,000","162,000","159,200","210.80K","-1.72%"
"15/10/2021","162,800","160,200","163,000","160,200","52.90K","1.75%"
