"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","45,000.0","46,200.0","46,500.0","44,700.0","16.76M","-3.43%"
"10/03/2022","46,600.0","47,800.0","47,800.0","46,600.0","8.50M","0.00%"
"09/03/2022","46,600.0","47,300.0","47,500.0","45,900.0","12.31M","-0.85%"
"08/03/2022","47,000.0","46,500.0","48,200.0","46,100.0","24.33M","0.43%"
"07/03/2022","46,800.0","46,100.0","46,850.0","45,750.0","11.61M","0.43%"
"04/03/2022","46,600.0","46,000.0","47,400.0","45,950.0","20.52M","2.42%"
"03/03/2022","45,500.0","45,000.0","45,500.0","44,500.0","8.44M","1.56%"
"02/03/2022","44,800.0","45,600.0","45,850.0","44,550.0","12.61M","-2.61%"
"01/03/2022","46,000.0","46,000.0","46,300.0","45,400.0","8.80M","0.66%"
"28/02/2022","45,700.0","45,800.0","46,600.0","45,650.0","7.53M","0.00%"
"25/02/2022","45,700.0","45,000.0","46,550.0","44,800.0","15.68M","2.47%"
"24/02/2022","44,600.0","45,100.0","46,000.0","43,450.0","12.75M","-1.55%"
"23/02/2022","45,300.0","45,200.0","45,600.0","45,200.0","5.63M","0.67%"
"22/02/2022","45,000.0","45,300.0","45,700.0","44,500.0","7.70M","-2.17%"
"21/02/2022","46,000.0","45,300.0","46,400.0","45,300.0","10.98M","1.77%"
"18/02/2022","45,200.0","44,500.0","45,800.0","44,400.0","9.39M","0.44%"
"17/02/2022","45,000.0","44,800.0","45,150.0","44,800.0","5.87M","0.22%"
"16/02/2022","44,900.0","44,700.0","45,100.0","44,300.0","4.86M","1.58%"
"15/02/2022","44,200.0","44,200.0","44,700.0","43,350.0","5.73M","1.38%"
"14/02/2022","43,600.0","44,500.0","44,700.0","43,600.0","10.49M","-3.33%"
"11/02/2022","45,100.0","45,000.0","45,650.0","44,800.0","5.56M","0.00%"
"10/02/2022","45,100.0","45,800.0","45,900.0","44,600.0","7.00M","-1.31%"
"09/02/2022","45,700.0","45,300.0","46,300.0","45,300.0","8.23M","0.11%"
"08/02/2022","45,650.0","45,500.0","46,100.0","45,000.0","6.66M","-0.44%"
"07/02/2022","45,850.0","46,000.0","46,900.0","45,300.0","9.69M","1.78%"
"28/01/2022","45,050.0","43,300.0","45,050.0","43,200.0","7.79M","3.80%"
"27/01/2022","43,400.0","42,500.0","44,500.0","42,100.0","7.54M","2.24%"
"26/01/2022","42,450.0","43,000.0","43,400.0","42,400.0","8.42M","-0.82%"
"25/01/2022","42,800.0","41,000.0","42,900.0","40,900.0","10.24M","3.26%"
"24/01/2022","41,450.0","43,800.0","44,300.0","41,450.0","18.79M","-6.96%"
"21/01/2022","44,550.0","45,200.0","45,600.0","44,200.0","8.53M","-2.52%"
"20/01/2022","45,700.0","45,400.0","46,200.0","44,450.0","9.06M","1.11%"
"19/01/2022","45,200.0","43,900.0","45,200.0","43,350.0","11.09M","6.86%"
"18/01/2022","42,300.0","44,300.0","45,100.0","42,150.0","15.99M","-6.62%"
"17/01/2022","45,300.0","48,500.0","48,900.0","45,300.0","32.35M","-6.98%"
"14/01/2022","48,700.0","48,450.0","49,450.0","48,300.0","6.68M","-0.31%"
"13/01/2022","48,850.0","51,000.0","51,100.0","48,850.0","11.39M","-3.27%"
"12/01/2022","50,500.0","48,500.0","50,500.0","48,100.0","15.46M","4.99%"
"11/01/2022","48,100.0","49,700.0","50,600.0","48,000.0","15.60M","-2.93%"
"10/01/2022","49,550.0","51,600.0","52,000.0","49,550.0","17.47M","-3.97%"
"07/01/2022","51,600.0","51,700.0","52,500.0","51,200.0","13.97M","-0.58%"
"06/01/2022","51,900.0","52,400.0","53,000.0","51,900.0","13.25M","-1.70%"
"05/01/2022","52,800.0","53,000.0","53,900.0","52,500.0","15.70M","-0.38%"
"04/01/2022","53,000.0","52,500.0","53,400.0","51,900.0","16.45M","2.32%"
"31/12/2021","51,800.0","52,900.0","53,000.0","51,600.0","9.61M","-1.52%"
"30/12/2021","52,600.0","50,200.0","52,800.0","50,100.0","16.61M","5.94%"
"29/12/2021","49,650.0","48,900.0","50,400.0","48,100.0","9.81M","1.74%"
"28/12/2021","48,800.0","49,300.0","49,550.0","48,800.0","9.86M","-0.71%"
"27/12/2021","49,150.0","49,950.0","49,950.0","49,000.0","6.53M","0.20%"
"24/12/2021","49,050.0","49,200.0","49,950.0","48,400.0","8.85M","0.10%"
"23/12/2021","49,000.0","50,800.0","50,900.0","48,000.0","26.28M","-4.11%"
"22/12/2021","51,100.0","52,500.0","52,800.0","50,800.0","22.77M","-2.67%"
"21/12/2021","52,500.0","53,100.0","53,700.0","52,500.0","12.29M","-1.87%"
"20/12/2021","53,500.0","52,500.0","54,500.0","52,100.0","18.58M","1.90%"
"17/12/2021","52,500.0","51,000.0","52,900.0","50,900.0","16.14M","3.14%"
"16/12/2021","50,900.0","51,900.0","52,000.0","50,500.0","22.32M","-1.55%"
"15/12/2021","51,700.0","52,500.0","53,100.0","51,700.0","13.91M","-1.90%"
"14/12/2021","52,700.0","53,300.0","53,900.0","52,600.0","14.53M","-1.31%"
"13/12/2021","53,400.0","53,200.0","54,000.0","52,300.0","15.53M","0.75%"
"10/12/2021","53,000.0","53,700.0","53,800.0","52,600.0","13.98M","-1.49%"
"09/12/2021","53,800.0","51,000.0","53,800.0","51,000.0","16.38M","3.86%"
"08/12/2021","51,800.0","52,500.0","52,900.0","51,800.0","13.01M","-0.77%"
"07/12/2021","52,200.0","52,000.0","52,500.0","50,800.0","15.87M","2.35%"
"06/12/2021","51,000.0","50,600.0","52,300.0","49,000.0","31.27M","0.99%"
"03/12/2021","50,500.0","54,100.0","54,400.0","50,500.0","44.93M","-6.48%"
"02/12/2021","54,000.0","55,000.0","55,800.0","54,000.0","21.24M","-2.17%"
"01/12/2021","55,200.0","55,500.0","56,200.0","54,100.0","23.26M","-1.25%"
"30/11/2021","55,900.0","56,800.0","57,700.0","55,000.0","23.96M","1.08%"
"29/11/2021","55,300.0","52,500.0","55,400.0","52,500.0","29.75M","3.36%"
"26/11/2021","53,500.0","54,700.0","55,400.0","53,000.0","30.83M","-2.73%"
"25/11/2021","55,000.0","53,300.0","55,500.0","52,800.0","25.42M","3.38%"
"24/11/2021","53,200.0","53,000.0","54,400.0","52,700.0","23.40M","2.31%"
"23/11/2021","52,000.0","48,300.0","52,000.0","47,900.0","37.42M","7.00%"
"22/11/2021","48,600.0","48,500.0","49,900.0","47,900.0","20.37M","0.21%"
"19/11/2021","48,500.0","50,000.0","50,800.0","45,700.0","31.04M","-1.12%"
"18/11/2021","49,050.0","48,400.0","49,050.0","47,000.0","40.96M","6.98%"
"17/11/2021","45,850.0","44,800.0","46,250.0","44,600.0","19.99M","2.46%"
"16/11/2021","44,750.0","45,200.0","45,850.0","44,500.0","16.35M","-2.29%"
"15/11/2021","45,800.0","45,500.0","46,800.0","45,100.0","28.46M","2.69%"
"12/11/2021","44,600.0","44,400.0","45,200.0","44,050.0","12.31M","1.02%"
"11/11/2021","44,150.0","44,750.0","45,500.0","43,250.0","24.64M","-1.23%"
"10/11/2021","44,700.0","44,500.0","45,700.0","44,300.0","19.74M","0.90%"
"09/11/2021","44,300.0","44,500.0","44,800.0","43,800.0","16.14M","-0.45%"
"08/11/2021","44,500.0","43,300.0","44,950.0","43,100.0","31.64M","3.73%"
"05/11/2021","42,900.0","43,300.0","43,400.0","42,800.0","14.21M","-0.23%"
"04/11/2021","43,000.0","41,800.0","43,900.0","41,700.0","24.90M","3.12%"
"03/11/2021","41,700.0","42,750.0","42,850.0","41,400.0","18.57M","-1.53%"
"02/11/2021","42,350.0","41,500.0","42,500.0","41,400.0","18.60M","2.29%"
"01/11/2021","41,400.0","40,600.0","41,800.0","40,500.0","23.76M","2.22%"
"29/10/2021","40,500.0","40,850.0","41,000.0","40,200.0","11.71M","-0.74%"
"28/10/2021","40,800.0","40,500.0","41,400.0","40,250.0","12.97M","0.99%"
"27/10/2021","40,400.0","39,000.0","40,500.0","38,900.0","12.40M","4.12%"
"26/10/2021","38,800.0","38,300.0","38,850.0","38,000.0","8.81M","1.31%"
"25/10/2021","38,300.0","39,000.0","39,100.0","38,100.0","15.46M","-2.30%"
"22/10/2021","39,200.0","39,700.0","39,950.0","39,050.0","11.21M","-1.26%"
"21/10/2021","39,700.0","40,400.0","40,450.0","39,700.0","10.22M","-1.49%"
"20/10/2021","40,300.0","40,900.0","40,950.0","39,900.0","13.48M","-1.47%"
"19/10/2021","40,900.0","41,000.0","41,700.0","40,800.0","8.86M","0.12%"
"18/10/2021","40,850.0","40,750.0","41,600.0","40,250.0","11.32M","0.25%"
"15/10/2021","40,750.0","41,200.0","41,400.0","40,700.0","6.39M","-0.61%"
"14/10/2021","41,000.0","41,000.0","41,600.0","40,650.0","10.56M","0.00%"
"13/10/2021","41,000.0","41,400.0","41,750.0","41,000.0","7.22M","-0.97%"
"12/10/2021","41,400.0","41,900.0","42,150.0","41,400.0","7.55M","-1.19%"
"11/10/2021","41,900.0","41,000.0","41,900.0","41,000.0","8.23M","2.57%"
"08/10/2021","40,850.0","40,700.0","41,200.0","40,500.0","6.80M","0.37%"
"07/10/2021","40,700.0","40,000.0","40,950.0","39,750.0","8.50M","1.88%"
"06/10/2021","39,950.0","40,700.0","40,750.0","39,900.0","7.26M","-1.11%"
"05/10/2021","40,400.0","39,450.0","40,700.0","39,200.0","9.68M","4.66%"
"04/10/2021","38,600.0","39,000.0","39,100.0","37,850.0","10.21M","-1.53%"
"01/10/2021","39,200.0","40,200.0","40,400.0","39,200.0","10.73M","-3.57%"
"30/09/2021","40,650.0","40,300.0","40,700.0","40,100.0","4.37M","1.37%"
"29/09/2021","40,100.0","40,500.0","40,550.0","39,800.0","5.52M","-1.23%"
"28/09/2021","40,600.0","40,000.0","40,900.0","39,800.0","6.88M","1.50%"
"27/09/2021","40,000.0","41,800.0","41,950.0","40,000.0","10.91M","-4.31%"
