"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","138,500","138,500","139,800","137,500","1.01M","-0.36%"
"10/03/2022","139,000","140,000","140,300","139,000","789.30K","-0.71%"
"09/03/2022","140,000","136,900","141,700","136,500","958.20K","2.19%"
"08/03/2022","137,000","134,000","137,000","133,800","863.40K","2.09%"
"07/03/2022","134,200","138,600","138,600","134,000","801.90K","-3.73%"
"04/03/2022","139,400","142,500","142,800","139,400","691.70K","-2.79%"
"03/03/2022","143,400","145,000","145,000","141,300","641.90K","-1.10%"
"02/03/2022","145,000","140,800","145,000","140,300","1.12M","2.91%"
"01/03/2022","140,900","139,000","142,500","139,000","808.30K","0.57%"
"28/02/2022","140,100","144,500","144,500","138,600","794.30K","-3.45%"
"25/02/2022","145,100","148,100","148,100","145,100","754.40K","-1.96%"
"24/02/2022","148,000","146,900","148,200","143,500","731.40K","-0.13%"
"23/02/2022","148,200","142,400","149,000","142,000","1.15M","3.78%"
"22/02/2022","142,800","144,000","144,300","141,200","799.50K","-2.19%"
"21/02/2022","146,000","147,500","148,600","146,000","974.30K","-2.01%"
"18/02/2022","149,000","140,100","149,000","140,100","1.42M","5.23%"
"17/02/2022","141,600","139,000","141,600","138,300","1.18M","1.72%"
"16/02/2022","139,200","139,500","139,500","137,100","640.90K","0.00%"
"15/02/2022","139,200","138,900","140,000","137,000","908.70K","-0.57%"
"14/02/2022","140,000","132,000","140,000","132,000","1.28M","5.42%"
"11/02/2022","132,800","132,800","132,900","129,800","872.70K","-0.15%"
"10/02/2022","133,000","134,800","134,800","132,300","1.07M","-1.48%"
"09/02/2022","135,000","130,800","135,000","129,800","1.16M","2.66%"
"08/02/2022","131,500","130,700","132,700","130,100","829.10K","0.84%"
"07/02/2022","130,400","122,800","130,400","122,800","1.06M","6.97%"
"28/01/2022","121,900","121,500","122,700","121,100","574.30K","0.66%"
"27/01/2022","121,100","121,000","121,800","119,100","714.60K","0.00%"
"26/01/2022","121,100","121,300","121,300","119,000","666.10K","-0.16%"
"25/01/2022","121,300","120,500","121,300","118,500","576.60K","0.66%"
"24/01/2022","120,500","121,800","122,000","117,300","605.60K","-1.23%"
"21/01/2022","122,000","123,600","123,700","121,000","515.10K","-1.29%"
"20/01/2022","123,600","126,000","126,300","123,600","901.80K","-2.14%"
"19/01/2022","126,300","124,000","126,300","122,000","1.02M","1.45%"
"18/01/2022","124,500","120,500","124,500","120,000","842.30K","3.32%"
"17/01/2022","120,500","121,500","122,000","120,000","644.30K","-1.23%"
"14/01/2022","122,000","121,900","122,300","121,000","585.40K","0.00%"
"13/01/2022","122,000","123,000","123,000","120,000","706.80K","-0.97%"
"12/01/2022","123,200","123,000","123,200","120,800","624.60K","-0.48%"
"11/01/2022","123,800","123,500","123,800","122,000","681.40K","0.00%"
"10/01/2022","123,800","123,900","123,900","122,500","682.90K","0.00%"
"07/01/2022","123,800","123,800","124,100","121,800","642.90K","0.00%"
"06/01/2022","123,800","123,000","124,400","122,700","627.10K","0.65%"
"05/01/2022","123,000","125,800","125,900","123,000","570.10K","-2.38%"
"04/01/2022","126,000","128,300","128,300","126,000","689.60K","-1.79%"
"31/12/2021","128,300","126,000","128,300","125,800","894.70K","1.83%"
"30/12/2021","126,000","124,600","126,000","124,000","881.80K","0.64%"
"29/12/2021","125,200","125,200","125,400","123,400","863.10K","0.00%"
"28/12/2021","125,200","125,700","125,900","122,700","770.70K","0.16%"
"27/12/2021","125,000","124,000","125,000","123,000","718.70K","0.81%"
"24/12/2021","124,000","123,900","124,500","122,800","776.80K","0.08%"
"23/12/2021","123,900","122,700","123,900","120,700","690.50K","0.98%"
"22/12/2021","122,700","122,500","123,000","121,000","698.60K","0.16%"
"21/12/2021","122,500","121,900","122,500","121,500","680.80K","0.33%"
"20/12/2021","122,100","122,500","122,500","120,000","708.00K","-0.33%"
"17/12/2021","122,500","122,900","123,600","121,400","744.30K","-0.24%"
"16/12/2021","122,800","123,100","124,000","121,100","771.60K","-0.97%"
"15/12/2021","124,000","123,900","124,300","122,900","779.80K","0.00%"
"14/12/2021","124,000","126,000","126,000","123,100","794.80K","-1.43%"
"13/12/2021","125,800","124,500","126,000","124,000","907.50K","1.04%"
"10/12/2021","124,500","123,600","125,000","122,500","677.00K","0.81%"
"09/12/2021","123,500","120,900","123,500","119,500","839.70K","1.73%"
"08/12/2021","121,400","122,800","123,000","120,100","732.80K","-1.30%"
"07/12/2021","123,000","120,000","123,000","118,500","921.00K","2.07%"
"06/12/2021","120,500","119,800","120,500","118,000","775.80K","0.08%"
"03/12/2021","120,400","120,400","120,800","118,300","805.10K","0.00%"
"02/12/2021","120,400","120,000","120,900","119,700","814.30K","0.33%"
"01/12/2021","120,000","121,600","122,000","116,800","819.00K","-2.04%"
"30/11/2021","122,500","123,000","123,700","121,600","669.00K","-2.00%"
"29/11/2021","125,000","128,900","128,900","124,500","873.50K","-3.47%"
"26/11/2021","129,500","131,800","131,800","128,100","911.40K","-1.89%"
"25/11/2021","132,000","132,200","132,800","130,900","1.02M","-0.15%"
"24/11/2021","132,200","132,400","132,400","130,800","1.18M","0.15%"
"23/11/2021","132,000","127,800","132,100","127,500","1.32M","3.13%"
"22/11/2021","128,000","128,200","128,400","126,000","799.30K","0.16%"
"19/11/2021","127,800","126,500","127,900","126,200","958.80K","1.03%"
"18/11/2021","126,500","127,900","128,000","125,600","907.70K","-1.09%"
"17/11/2021","127,900","127,500","128,000","127,000","746.00K","0.00%"
"16/11/2021","127,900","126,500","127,900","125,500","798.40K","0.71%"
"15/11/2021","127,000","128,100","128,600","126,000","803.30K","-1.24%"
"12/11/2021","128,600","128,200","128,900","127,500","755.20K","0.00%"
"11/11/2021","128,600","129,200","129,400","127,300","823.50K","-0.85%"
"10/11/2021","129,700","131,000","131,000","128,800","716.90K","-0.99%"
"09/11/2021","131,000","131,900","131,900","129,300","798.70K","-0.61%"
"08/11/2021","131,800","129,800","132,000","129,600","1.05M","1.38%"
"05/11/2021","130,000","129,600","130,300","129,200","869.30K","0.31%"
"04/11/2021","129,600","129,300","129,800","127,400","681.70K","-0.15%"
"03/11/2021","129,800","131,800","132,000","128,000","728.50K","-1.67%"
"02/11/2021","132,000","130,000","132,000","130,000","919.80K","1.54%"
"01/11/2021","130,000","131,900","131,900","129,900","991.50K","-1.52%"
"29/10/2021","132,000","133,000","134,000","132,000","763.80K","-1.12%"
"28/10/2021","133,500","134,000","134,400","132,800","887.80K","-0.37%"
"27/10/2021","134,000","132,500","135,000","132,300","922.50K","1.13%"
"26/10/2021","132,500","131,800","132,600","130,700","876.30K","0.53%"
"25/10/2021","131,800","131,800","133,500","131,300","898.20K","0.00%"
"22/10/2021","131,800","131,900","132,800","131,600","788.40K","0.00%"
"21/10/2021","131,800","135,900","135,900","131,800","864.50K","-3.02%"
"20/10/2021","135,900","135,200","136,500","133,300","938.40K","0.52%"
"19/10/2021","135,200","131,000","135,200","130,000","1.08M","3.05%"
"18/10/2021","131,200","131,000","131,600","129,800","844.30K","-0.38%"
"15/10/2021","131,700","134,400","134,500","130,900","982.00K","-2.01%"
"14/10/2021","134,400","133,300","134,400","132,500","817.10K","0.37%"
"13/10/2021","133,900","132,800","134,100","132,500","815.20K","1.06%"
"12/10/2021","132,500","132,500","132,800","131,800","922.80K","0.00%"
"11/10/2021","132,500","129,700","132,500","129,000","1.10M","2.79%"
"08/10/2021","128,900","128,800","129,000","127,100","724.90K","0.08%"
"07/10/2021","128,800","129,400","130,000","127,300","745.20K","-0.46%"
"06/10/2021","129,400","130,800","130,800","128,000","740.60K","-1.07%"
"05/10/2021","130,800","131,400","131,700","129,200","813.90K","-0.76%"
"04/10/2021","131,800","128,800","132,000","128,500","1.04M","2.33%"
"01/10/2021","128,800","127,500","129,000","125,500","764.20K","0.70%"
"30/09/2021","127,900","128,000","128,800","126,900","761.00K","-0.47%"
"29/09/2021","128,500","129,000","129,100","127,000","855.90K","-0.39%"
"28/09/2021","129,000","128,800","129,300","128,000","842.80K","0.00%"
"27/09/2021","129,000","125,100","129,700","125,000","1.23M","3.20%"
"24/09/2021","125,000","123,600","125,200","123,000","1.04M","1.05%"
"23/09/2021","123,700","123,300","124,000","122,000","697.20K","0.32%"
"22/09/2021","123,300","123,500","123,700","121,500","701.20K","-0.16%"
"21/09/2021","123,500","124,200","124,200","122,000","631.60K","-0.56%"
"20/09/2021","124,200","125,000","125,900","123,500","704.40K","-0.56%"
"17/09/2021","124,900","126,000","126,100","124,000","1.24M","-0.87%"
"16/09/2021","126,000","126,000","126,200","125,100","713.10K","0.00%"
"15/09/2021","126,000","125,300","126,400","125,300","688.10K","0.16%"
"14/09/2021","125,800","127,400","127,800","125,000","886.30K","-1.72%"
"13/09/2021","128,000","129,800","129,800","128,000","1.02M","-1.39%"
"10/09/2021","129,800","129,500","130,000","129,200","921.80K","0.62%"
"09/09/2021","129,000","124,600","129,000","124,000","1.23M","3.53%"
"08/09/2021","124,600","124,600","124,600","123,000","813.40K","0.00%"
"07/09/2021","124,600","125,500","125,500","123,800","821.50K","-0.88%"
"06/09/2021","125,700","124,700","126,000","124,700","1.00M","0.16%"
"01/09/2021","125,500","125,500","126,300","124,600","864.90K","-0.79%"
"31/08/2021","126,500","126,800","126,800","125,000","1.05M","-0.32%"
"30/08/2021","126,900","126,500","127,000","124,000","1.23M","0.08%"
"27/08/2021","126,800","126,100","126,800","124,800","1.41M","0.79%"
"26/08/2021","125,800","125,800","126,900","124,300","1.11M","-0.94%"
"25/08/2021","127,000","123,500","127,000","123,000","1.41M","3.42%"
"24/08/2021","122,800","120,400","122,800","119,800","1.51M","2.08%"
"23/08/2021","120,300","119,500","120,300","118,200","1.57M","0.42%"
"20/08/2021","119,800","119,000","120,000","117,500","1.63M","-0.17%"
"19/08/2021","120,000","118,000","120,000","117,700","1.40M","1.69%"
"18/08/2021","118,000","117,300","118,200","117,100","847.70K","0.60%"
"17/08/2021","117,300","117,400","117,400","116,800","515.60K","0.00%"
"16/08/2021","117,300","118,100","118,100","116,300","479.30K","-0.59%"
"13/08/2021","118,000","118,700","118,700","116,500","535.20K","-0.59%"
"12/08/2021","118,700","118,700","119,000","116,900","479.40K","0.00%"
"11/08/2021","118,700","118,800","118,900","118,000","514.20K","0.00%"
"10/08/2021","118,700","119,500","120,000","117,500","496.90K","-0.67%"
"09/08/2021","119,500","116,800","119,700","116,000","612.10K","1.79%"
"06/08/2021","117,400","116,800","117,500","116,000","474.00K","0.77%"
"05/08/2021","116,500","116,400","116,500","114,500","370.00K","0.26%"
"04/08/2021","116,200","116,000","116,200","115,000","501.50K","0.17%"
"03/08/2021","116,000","115,300","116,300","114,400","573.80K","0.43%"
"02/08/2021","115,500","113,000","115,900","113,000","503.20K","2.21%"
"30/07/2021","113,000","114,500","114,500","112,400","531.10K","-1.22%"
"29/07/2021","114,400","114,400","114,400","112,300","499.60K","0.00%"
"28/07/2021","114,400","114,500","114,500","113,300","520.60K","-0.44%"
"27/07/2021","114,900","114,000","115,500","113,800","622.50K","0.79%"
"26/07/2021","114,000","113,000","114,000","111,500","618.70K","0.53%"
"23/07/2021","113,400","113,900","113,900","110,800","554.40K","-0.53%"
"22/07/2021","114,000","113,900","114,200","112,800","544.60K","0.00%"
"21/07/2021","114,000","114,000","114,500","112,300","514.00K","-0.44%"
"20/07/2021","114,500","113,600","114,500","110,000","515.50K","0.44%"
"19/07/2021","114,000","114,700","114,700","111,000","575.90K","-1.21%"
"16/07/2021","115,400","114,800","115,400","113,500","667.20K","0.52%"
"15/07/2021","114,800","116,900","116,900","109,200","1.04M","-1.88%"
"14/07/2021","117,000","119,900","120,500","111,600","1.10M","-2.42%"
"13/07/2021","119,900","120,000","120,000","117,800","544.20K","-0.08%"
"12/07/2021","120,000","118,900","121,500","114,400","1.01M","0.93%"
"09/07/2021","118,900","120,200","120,200","117,300","636.70K","-1.16%"
"08/07/2021","120,300","120,900","121,000","118,300","494.80K","-1.23%"
"07/07/2021","121,800","119,300","121,800","118,700","839.80K","2.10%"
"06/07/2021","119,300","118,200","119,900","117,800","618.40K","0.85%"
"05/07/2021","118,300","120,000","121,000","117,800","480.30K","-1.91%"
"02/07/2021","120,600","121,000","121,100","119,800","506.80K","-0.08%"
"01/07/2021","120,700","121,500","121,500","119,600","534.30K","-0.66%"
"30/06/2021","121,500","120,000","121,700","119,800","595.20K","1.25%"
"29/06/2021","120,000","115,700","120,000","115,300","666.90K","3.90%"
"28/06/2021","115,500","116,000","116,100","114,600","514.20K","-0.35%"
"25/06/2021","115,900","115,500","116,000","115,000","470.10K","0.35%"
"24/06/2021","115,500","115,900","115,900","115,000","634.40K","0.35%"
"23/06/2021","115,100","115,100","115,300","114,400","588.00K","0.09%"
"22/06/2021","115,000","114,400","115,400","114,000","528.90K","0.88%"
"21/06/2021","114,000","116,000","116,000","113,800","669.00K","-1.72%"
