"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","78,000.0","77,200.0","78,500.0","77,100.0","2.32M","1.17%"
"10/03/2022","77,100.0","76,000.0","77,900.0","76,000.0","2.97M","2.66%"
"09/03/2022","75,100.0","76,000.0","76,800.0","75,000.0","3.00M","-1.31%"
"08/03/2022","76,100.0","76,300.0","76,500.0","76,000.0","2.38M","-0.91%"
"07/03/2022","76,800.0","77,900.0","77,900.0","76,700.0","3.53M","-1.41%"
"04/03/2022","77,900.0","78,400.0","78,400.0","77,800.0","2.51M","-0.64%"
"03/03/2022","78,400.0","78,700.0","79,000.0","78,200.0","1.49M","-0.13%"
"02/03/2022","78,500.0","79,200.0","79,200.0","78,000.0","2.04M","-0.88%"
"01/03/2022","79,200.0","78,400.0","79,400.0","78,200.0","1.27M","1.02%"
"28/02/2022","78,400.0","78,900.0","79,000.0","77,800.0","2.26M","-0.63%"
"25/02/2022","78,900.0","79,000.0","79,500.0","78,900.0","1.35M","0.38%"
"24/02/2022","78,600.0","80,000.0","80,000.0","78,500.0","2.72M","-1.75%"
"23/02/2022","80,000.0","80,000.0","80,500.0","79,800.0","2.20M","0.00%"
"22/02/2022","80,000.0","80,900.0","81,000.0","79,700.0","3.20M","-1.23%"
"21/02/2022","81,000.0","80,900.0","81,600.0","80,900.0","1.28M","0.50%"
"18/02/2022","80,600.0","80,100.0","80,800.0","80,100.0","1.81M","-0.25%"
"17/02/2022","80,800.0","80,500.0","81,200.0","80,400.0","1.79M","0.50%"
"16/02/2022","80,400.0","81,200.0","81,300.0","80,300.0","2.83M","-0.99%"
"15/02/2022","81,200.0","81,100.0","81,500.0","81,000.0","1.47M","0.12%"
"14/02/2022","81,100.0","81,500.0","82,000.0","81,000.0","2.97M","-1.10%"
"11/02/2022","82,000.0","82,500.0","82,600.0","81,900.0","1.62M","-0.85%"
"10/02/2022","82,700.0","82,800.0","83,300.0","82,300.0","1.61M","-0.12%"
"09/02/2022","82,800.0","82,000.0","83,700.0","82,000.0","1.80M","0.98%"
"08/02/2022","82,000.0","83,400.0","83,500.0","82,000.0","2.71M","-1.80%"
"07/02/2022","83,500.0","83,200.0","84,000.0","82,900.0","1.32M","0.48%"
"28/01/2022","83,100.0","83,000.0","84,200.0","82,800.0","2.26M","0.00%"
"27/01/2022","83,100.0","80,100.0","83,400.0","80,100.0","2.04M","4.27%"
"26/01/2022","79,700.0","79,300.0","80,500.0","79,300.0","1.45M","0.63%"
"25/01/2022","79,200.0","80,500.0","81,000.0","79,100.0","3.76M","-2.22%"
"24/01/2022","81,000.0","82,600.0","82,700.0","81,000.0","2.22M","-1.94%"
"21/01/2022","82,600.0","83,000.0","83,300.0","82,500.0","1.58M","-0.48%"
"20/01/2022","83,000.0","83,000.0","83,300.0","82,900.0","1.49M","-0.48%"
"19/01/2022","83,400.0","82,900.0","83,500.0","82,700.0","1.76M","0.00%"
"18/01/2022","83,400.0","82,900.0","83,500.0","82,600.0","2.10M","0.60%"
"17/01/2022","82,900.0","85,000.0","85,000.0","82,900.0","2.10M","-2.13%"
"14/01/2022","84,700.0","83,100.0","85,100.0","82,700.0","2.52M","1.93%"
"13/01/2022","83,100.0","83,400.0","83,700.0","82,900.0","1.71M","0.00%"
"12/01/2022","83,100.0","83,800.0","83,800.0","82,700.0","2.18M","-0.72%"
"11/01/2022","83,700.0","83,600.0","84,000.0","83,500.0","1.83M","0.00%"
"10/01/2022","83,700.0","84,800.0","85,000.0","83,500.0","2.15M","-1.76%"
"07/01/2022","85,200.0","85,300.0","85,600.0","85,000.0","2.55M","-0.23%"
"06/01/2022","85,400.0","86,100.0","86,100.0","85,300.0","2.85M","-0.93%"
"05/01/2022","86,200.0","86,800.0","87,000.0","86,000.0","3.12M","-0.58%"
"04/01/2022","86,700.0","87,200.0","87,400.0","86,700.0","1.89M","0.35%"
"31/12/2021","86,400.0","85,500.0","87,500.0","85,300.0","2.33M","1.29%"
"30/12/2021","85,300.0","85,300.0","85,600.0","85,100.0","893.10K","0.12%"
"29/12/2021","85,200.0","85,500.0","85,600.0","85,100.0","945.40K","-0.35%"
"28/12/2021","85,500.0","86,200.0","86,200.0","85,200.0","1.54M","-0.70%"
"27/12/2021","86,100.0","86,000.0","86,400.0","85,700.0","1.14M","0.12%"
"24/12/2021","86,000.0","84,700.0","86,000.0","84,700.0","1.15M","1.53%"
"23/12/2021","84,700.0","85,400.0","85,400.0","84,500.0","2.15M","-0.82%"
"22/12/2021","85,400.0","85,700.0","86,200.0","85,300.0","1.84M","-0.12%"
"21/12/2021","85,500.0","85,800.0","86,000.0","85,500.0","1.19M","-0.23%"
"20/12/2021","85,700.0","86,000.0","86,300.0","85,600.0","1.81M","0.00%"
"17/12/2021","85,700.0","86,600.0","86,700.0","85,700.0","2.66M","-1.04%"
"16/12/2021","86,600.0","86,300.0","86,600.0","86,000.0","1.61M","0.35%"
"15/12/2021","86,300.0","86,400.0","86,700.0","86,300.0","1.21M","0.00%"
"14/12/2021","86,300.0","86,400.0","86,900.0","86,200.0","1.67M","-0.12%"
"13/12/2021","86,400.0","86,300.0","86,800.0","86,000.0","1.50M","0.12%"
"10/12/2021","86,300.0","86,500.0","87,000.0","85,800.0","1.49M","-0.80%"
"09/12/2021","87,000.0","85,900.0","87,100.0","85,700.0","1.45M","1.16%"
"08/12/2021","86,000.0","86,300.0","86,500.0","85,700.0","1.29M","-0.58%"
"07/12/2021","86,500.0","85,800.0","86,500.0","85,400.0","1.53M","1.41%"
"06/12/2021","85,300.0","86,000.0","86,600.0","85,300.0","3.17M","-0.58%"
