"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","31,450.0","31,100.0","31,980.0","31,050.0","11.26M","1.29%"
"10/03/2022","31,050.0","31,300.0","31,750.0","31,000.0","11.87M","0.98%"
"09/03/2022","30,750.0","31,000.0","31,300.0","30,250.0","24.11M","-0.81%"
"08/03/2022","31,000.0","31,800.0","32,000.0","31,000.0","25.63M","-3.73%"
"07/03/2022","32,200.0","32,200.0","32,650.0","32,000.0","18.90M","-2.13%"
"04/03/2022","32,900.0","33,000.0","33,300.0","32,600.0","11.20M","-0.60%"
"03/03/2022","33,100.0","32,900.0","33,300.0","31,600.0","29.99M","1.85%"
"02/03/2022","32,500.0","33,800.0","33,800.0","32,400.0","51.62M","-4.41%"
"01/03/2022","34,000.0","34,600.0","34,900.0","33,850.0","16.32M","-1.16%"
"28/02/2022","34,400.0","34,050.0","34,800.0","34,000.0","12.77M","0.88%"
"25/02/2022","34,100.0","34,450.0","34,900.0","34,100.0","16.81M","0.29%"
"24/02/2022","34,000.0","34,000.0","34,800.0","33,200.0","29.81M","-1.02%"
"23/02/2022","34,350.0","34,600.0","34,900.0","34,150.0","17.32M","-0.15%"
"22/02/2022","34,400.0","32,500.0","34,400.0","32,100.0","37.46M","5.36%"
"21/02/2022","32,650.0","32,600.0","32,900.0","31,850.0","18.82M","0.00%"
"18/02/2022","32,650.0","32,900.0","33,050.0","32,550.0","12.48M","-1.66%"
"17/02/2022","33,200.0","32,650.0","33,200.0","32,600.0","9.33M","1.68%"
"16/02/2022","32,650.0","32,950.0","33,050.0","32,250.0","9.31M","-0.15%"
"15/02/2022","32,700.0","32,150.0","32,900.0","31,950.0","20.74M","2.19%"
"14/02/2022","32,000.0","33,500.0","33,800.0","32,000.0","27.32M","-5.74%"
"11/02/2022","33,950.0","33,750.0","34,150.0","33,700.0","14.16M","0.59%"
"10/02/2022","33,750.0","33,200.0","34,200.0","33,050.0","23.69M","1.35%"
"09/02/2022","33,300.0","33,800.0","34,150.0","33,300.0","21.09M","-1.48%"
"08/02/2022","33,800.0","33,600.0","34,150.0","33,300.0","18.66M","0.00%"
"07/02/2022","33,800.0","34,300.0","34,500.0","33,550.0","16.80M","0.30%"
"28/01/2022","33,700.0","33,300.0","34,200.0","33,200.0","24.03M","2.12%"
"27/01/2022","33,000.0","33,000.0","33,350.0","32,550.0","17.66M","-0.90%"
"26/01/2022","33,300.0","32,950.0","33,900.0","32,800.0","27.72M","2.15%"
"25/01/2022","32,600.0","32,000.0","32,700.0","31,900.0","19.84M","1.56%"
"24/01/2022","32,100.0","31,850.0","33,000.0","31,650.0","32.13M","0.94%"
"21/01/2022","31,800.0","30,200.0","32,300.0","30,100.0","50.94M","5.30%"
"20/01/2022","30,200.0","29,700.0","30,500.0","29,250.0","15.63M","2.03%"
"19/01/2022","29,600.0","30,200.0","30,800.0","29,600.0","12.39M","-1.00%"
"18/01/2022","29,900.0","29,700.0","30,350.0","29,500.0","14.34M","1.36%"
"17/01/2022","29,500.0","29,700.0","30,750.0","29,500.0","29.43M","-0.51%"
"14/01/2022","29,650.0","29,500.0","30,150.0","29,250.0","9.47M","-0.17%"
"13/01/2022","29,700.0","29,700.0","30,850.0","29,550.0","34.75M","1.71%"
"12/01/2022","29,200.0","28,200.0","29,200.0","28,050.0","15.29M","4.66%"
"11/01/2022","27,900.0","28,250.0","28,500.0","27,900.0","6.84M","-0.71%"
"10/01/2022","28,100.0","28,550.0","28,750.0","28,100.0","8.93M","-1.75%"
"07/01/2022","28,600.0","28,350.0","28,850.0","28,300.0","9.53M","0.88%"
"06/01/2022","28,350.0","28,500.0","28,600.0","28,150.0","10.90M","-1.22%"
"05/01/2022","28,700.0","29,100.0","29,150.0","28,650.0","9.11M","-1.37%"
"04/01/2022","29,100.0","29,200.0","29,400.0","29,050.0","9.07M","0.69%"
