"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","133,000","133,500","142,800","132,000","653.00K","-0.37%"
"10/03/2022","133,500","134,000","134,000","132,600","883.00K","-0.22%"
"09/03/2022","133,800","134,100","134,100","132,500","1.15M","-0.30%"
"08/03/2022","134,200","134,000","134,500","132,400","2.00M","0.00%"
"07/03/2022","134,200","134,500","135,000","134,000","1.14M","-1.18%"
"04/03/2022","135,800","136,500","136,600","134,600","1.07M","-0.51%"
"03/03/2022","136,500","135,000","136,500","133,600","1.06M","1.49%"
"02/03/2022","134,500","135,800","135,800","134,000","1.67M","-1.10%"
"01/03/2022","136,000","136,900","137,000","135,100","1.21M","0.00%"
"28/02/2022","136,000","136,500","138,000","135,500","1.80M","-1.16%"
"25/02/2022","137,600","136,900","139,800","136,000","2.69M","0.58%"
"24/02/2022","136,800","137,000","137,700","135,500","1.17M","-0.73%"
"23/02/2022","137,800","137,700","140,600","136,900","1.61M","0.07%"
"22/02/2022","137,700","133,000","139,200","132,400","3.27M","2.84%"
"21/02/2022","133,900","132,500","134,900","132,500","612.10K","-0.07%"
"18/02/2022","134,000","132,100","134,000","132,100","467.80K","-0.37%"
"17/02/2022","134,500","132,000","134,500","131,900","1.03M","1.20%"
"16/02/2022","132,900","134,200","134,200","131,600","562.00K","-0.30%"
"15/02/2022","133,300","132,700","133,900","131,500","572.40K","0.98%"
"14/02/2022","132,000","133,900","135,000","132,000","957.30K","-2.44%"
"11/02/2022","135,300","135,000","136,000","135,000","541.50K","-0.73%"
"10/02/2022","136,300","137,000","137,200","134,500","902.70K","-0.51%"
"09/02/2022","137,000","136,300","137,500","136,000","1.21M","0.51%"
"08/02/2022","136,300","133,900","136,800","133,900","1.45M","1.79%"
"07/02/2022","133,900","133,000","135,700","133,000","932.40K","1.06%"
"28/01/2022","132,500","131,300","132,500","129,700","716.30K","0.76%"
"27/01/2022","131,500","130,900","132,300","129,200","530.60K","-0.30%"
"26/01/2022","131,900","131,000","131,900","129,000","954.30K","0.69%"
"25/01/2022","131,000","129,800","131,000","127,600","802.50K","0.85%"
"24/01/2022","129,900","132,200","133,200","129,900","867.60K","-2.48%"
"21/01/2022","133,200","134,000","134,000","131,300","655.10K","-0.60%"
"20/01/2022","134,000","133,000","134,000","132,100","896.90K","0.37%"
"19/01/2022","133,500","130,200","134,000","130,000","954.80K","2.61%"
"18/01/2022","130,100","129,000","132,000","128,600","816.20K","0.08%"
"17/01/2022","130,000","133,000","133,900","130,000","817.40K","-2.99%"
"14/01/2022","134,000","135,000","135,000","133,200","468.40K","-1.11%"
"13/01/2022","135,500","136,500","136,500","132,000","925.00K","-0.37%"
"12/01/2022","136,000","131,800","136,000","130,000","928.60K","3.19%"
"11/01/2022","131,800","133,000","134,500","131,700","773.40K","-0.90%"
"10/01/2022","133,000","135,500","135,500","133,000","927.00K","-1.85%"
"07/01/2022","135,500","137,500","137,500","135,500","921.20K","-1.45%"
"06/01/2022","137,500","137,100","138,800","136,500","771.10K","0.29%"
"05/01/2022","137,100","137,800","139,300","137,100","1.18M","-0.51%"
"04/01/2022","137,800","135,900","139,200","134,900","1.33M","1.40%"
