"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","79,000","77,400","79,000","77,400","2.22M","-0.13%"
"10/03/2022","79,100","78,500","80,600","78,000","4.37M","1.41%"
"09/03/2022","78,000","78,100","78,700","77,300","3.05M","0.13%"
"08/03/2022","77,900","78,000","78,900","77,100","4.29M","-0.76%"
"07/03/2022","78,500","78,400","79,000","77,300","2.44M","-0.63%"
"04/03/2022","79,000","79,000","79,300","77,800","3.82M","0.00%"
"03/03/2022","79,000","78,900","80,400","78,300","2.61M","0.13%"
"02/03/2022","78,900","79,200","79,200","77,200","2.40M","-0.38%"
"01/03/2022","79,200","77,100","79,900","77,000","3.47M","2.86%"
"28/02/2022","77,000","79,500","79,500","77,000","4.68M","-2.65%"
"25/02/2022","79,100","80,900","80,900","79,100","3.39M","-1.25%"
"24/02/2022","80,100","82,300","82,400","79,300","6.37M","-2.91%"
"23/02/2022","82,500","82,100","82,500","82,000","1.44M","0.61%"
"22/02/2022","82,000","83,000","83,300","81,800","2.98M","-1.91%"
"21/02/2022","83,600","82,100","83,800","82,000","2.51M","1.70%"
"18/02/2022","82,200","82,500","82,800","82,000","2.91M","-1.08%"
"17/02/2022","83,100","82,800","83,500","82,000","2.87M","0.24%"
"16/02/2022","82,900","83,900","83,900","82,700","1.99M","-0.96%"
"15/02/2022","83,700","82,000","83,800","81,800","3.00M","2.32%"
"14/02/2022","81,800","81,700","84,000","80,700","4.97M","0.12%"
"11/02/2022","81,700","83,000","83,600","81,500","7.85M","-2.74%"
"10/02/2022","84,000","85,700","86,000","81,700","11.09M","-1.98%"
"09/02/2022","85,700","87,600","88,700","84,900","8.81M","-1.83%"
"08/02/2022","87,300","91,300","92,300","86,700","8.01M","-4.28%"
"07/02/2022","91,200","96,400","97,500","91,200","7.41M","-5.98%"
"28/01/2022","97,000","95,100","97,000","94,500","3.00M","0.52%"
"27/01/2022","96,500","96,500","96,500","94,200","2.56M","0.10%"
"26/01/2022","96,400","96,500","96,500","94,500","1.93M","0.42%"
"25/01/2022","96,000","95,000","97,700","93,400","3.20M","1.05%"
"24/01/2022","95,000","94,900","96,000","92,500","3.94M","-0.52%"
"21/01/2022","95,500","95,900","96,000","93,300","3.19M","0.53%"
"20/01/2022","95,000","94,600","96,300","94,600","1.69M","-0.84%"
"19/01/2022","95,800","95,000","95,900","93,500","2.48M","-0.10%"
"18/01/2022","95,900","97,000","97,000","94,100","2.03M","-1.13%"
"17/01/2022","97,000","99,000","99,200","94,500","2.63M","-1.92%"
"14/01/2022","98,900","98,200","99,600","98,200","1.02M","0.10%"
"13/01/2022","98,800","101,000","101,000","98,500","1.96M","-1.98%"
"12/01/2022","100,800","101,500","101,500","98,000","2.34M","-0.20%"
"11/01/2022","101,000","102,000","102,000","99,800","2.24M","-1.27%"
"10/01/2022","102,300","102,500","105,500","102,200","2.91M","0.10%"
"07/01/2022","102,200","106,400","106,400","102,200","3.11M","-2.20%"
"06/01/2022","104,500","101,000","106,400","100,500","5.06M","4.50%"
"05/01/2022","100,000","100,800","102,200","99,500","3.40M","-0.99%"
"04/01/2022","101,000","96,000","101,500","95,700","3.07M","6.20%"
