"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","104,500.0","108,300.0","108,300.0","103,600.0","1.32M","-3.51%"
"10/03/2022","108,300.0","109,500.0","109,500.0","107,200.0","1.11M","-1.99%"
"09/03/2022","110,500.0","107,000.0","112,000.0","106,600.0","2.30M","4.25%"
"08/03/2022","106,000.0","109,000.0","110,000.0","105,500.0","1.35M","-1.85%"
"07/03/2022","108,000.0","107,200.0","112,000.0","107,200.0","3.11M","1.69%"
"04/03/2022","106,200.0","102,700.0","106,900.0","102,700.0","1.60M","2.12%"
"03/03/2022","104,000.0","104,000.0","105,000.0","102,000.0","833.50K","0.58%"
"02/03/2022","103,400.0","105,000.0","105,000.0","100,800.0","1.21M","-1.52%"
"01/03/2022","105,000.0","102,100.0","106,000.0","102,100.0","1.15M","1.94%"
"28/02/2022","103,000.0","107,000.0","108,700.0","103,000.0","2.29M","-4.45%"
"25/02/2022","107,800.0","109,000.0","110,000.0","106,400.0","1.61M","-1.10%"
"24/02/2022","109,000.0","109,900.0","112,800.0","109,000.0","1.78M","-0.55%"
"23/02/2022","109,600.0","110,000.0","113,500.0","109,000.0","1.15M","-0.36%"
"22/02/2022","110,000.0","106,400.0","113,000.0","105,100.0","2.82M","3.29%"
"21/02/2022","106,500.0","107,000.0","107,000.0","104,900.0","693.40K","-0.47%"
"18/02/2022","107,000.0","107,000.0","108,900.0","107,000.0","570.60K","-0.83%"
"17/02/2022","107,900.0","106,500.0","107,900.0","106,300.0","924.60K","1.51%"
"16/02/2022","106,300.0","105,000.0","106,600.0","104,500.0","758.90K","0.76%"
"15/02/2022","105,500.0","103,900.0","105,900.0","103,700.0","619.80K","0.86%"
"14/02/2022","104,600.0","105,000.0","105,100.0","104,100.0","533.20K","-0.19%"
"11/02/2022","104,800.0","103,000.0","106,500.0","102,000.0","534.90K","1.45%"
"10/02/2022","103,300.0","103,500.0","103,700.0","101,600.0","825.90K","0.00%"
"09/02/2022","103,300.0","104,900.0","104,900.0","103,000.0","1.12M","-1.62%"
"08/02/2022","105,000.0","106,100.0","107,100.0","104,000.0","781.50K","-2.14%"
"07/02/2022","107,300.0","103,600.0","108,000.0","103,600.0","1.21M","3.17%"
"28/01/2022","104,000.0","100,000.0","104,000.0","100,000.0","1.01M","2.97%"
"27/01/2022","101,000.0","100,000.0","101,500.0","99,900.0","921.30K","0.00%"
"26/01/2022","101,000.0","97,600.0","101,000.0","96,800.0","1.87M","4.12%"
"25/01/2022","97,000.0","96,800.0","97,500.0","95,600.0","647.30K","0.10%"
"24/01/2022","96,900.0","95,500.0","98,300.0","94,100.0","870.60K","1.47%"
"21/01/2022","95,500.0","94,500.0","95,500.0","94,400.0","715.30K","1.17%"
"20/01/2022","94,400.0","93,000.0","94,500.0","93,000.0","378.90K","0.85%"
"19/01/2022","93,600.0","93,200.0","93,600.0","92,000.0","335.70K","0.32%"
"18/01/2022","93,300.0","92,200.0","93,500.0","92,100.0","348.00K","-0.21%"
"17/01/2022","93,500.0","93,100.0","94,000.0","92,600.0","508.20K","-0.43%"
"14/01/2022","93,900.0","91,700.0","94,300.0","91,700.0","288.80K","-0.21%"
"13/01/2022","94,100.0","96,000.0","96,000.0","93,100.0","331.90K","1.51%"
"12/01/2022","92,700.0","94,100.0","94,100.0","92,600.0","466.40K","-1.49%"
"11/01/2022","94,100.0","93,200.0","94,500.0","92,400.0","386.40K","0.97%"
"10/01/2022","93,200.0","93,800.0","93,800.0","93,000.0","533.40K","-0.75%"
"07/01/2022","93,900.0","94,600.0","94,600.0","93,600.0","298.90K","-0.74%"
"06/01/2022","94,600.0","95,200.0","95,900.0","94,500.0","289.00K","-0.53%"
"05/01/2022","95,100.0","96,000.0","96,600.0","95,100.0","570.30K","-1.45%"
"04/01/2022","96,500.0","96,200.0","96,500.0","95,400.0","358.70K","0.31%"
