"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","83,800","83,500","89,000","83,000","876.10K","0.36%"
"10/03/2022","83,500","83,000","83,700","82,900","1.15M","0.60%"
"09/03/2022","83,000","81,800","83,100","81,700","1.33M","1.84%"
"08/03/2022","81,500","83,800","84,500","81,500","2.94M","-4.00%"
"07/03/2022","84,900","84,300","84,900","83,900","1.00M","0.00%"
"04/03/2022","84,900","85,200","85,500","84,800","1.06M","-0.70%"
"03/03/2022","85,500","85,000","85,500","84,700","1.05M","0.59%"
"02/03/2022","85,000","85,600","85,600","84,200","1.66M","0.00%"
"01/03/2022","85,000","84,500","85,400","84,100","1.30M","0.59%"
"28/02/2022","84,500","85,100","85,100","84,400","1.32M","-0.71%"
"25/02/2022","85,100","85,300","85,900","85,000","1.62M","-0.23%"
"24/02/2022","85,300","86,700","86,800","85,000","2.08M","-1.84%"
"23/02/2022","86,900","87,000","87,000","85,800","986.30K","0.12%"
"22/02/2022","86,800","87,000","87,000","85,000","1.54M","-0.69%"
"21/02/2022","87,400","86,600","87,600","86,600","1.02M","0.23%"
"18/02/2022","87,200","86,400","87,500","86,400","1.07M","-0.34%"
"17/02/2022","87,500","87,000","87,700","86,800","1.43M","0.57%"
"16/02/2022","87,000","87,500","87,900","86,400","1.29M","0.00%"
"15/02/2022","87,000","86,000","88,300","83,800","2.45M","1.16%"
"14/02/2022","86,000","88,100","88,800","86,000","3.63M","-4.44%"
"11/02/2022","90,000","91,300","91,600","90,000","1.16M","-1.42%"
"10/02/2022","91,300","91,100","93,400","91,000","1.83M","0.55%"
"09/02/2022","90,800","91,200","91,900","90,300","1.58M","-1.30%"
"08/02/2022","92,000","92,400","92,400","90,100","1.15M","-0.43%"
"07/02/2022","92,400","90,600","92,900","89,500","1.62M","3.82%"
"28/01/2022","89,000","91,000","92,000","89,000","2.06M","-2.20%"
"27/01/2022","91,000","93,000","94,500","90,400","1.73M","-3.70%"
"26/01/2022","94,500","95,800","95,800","92,600","2.52M","-1.36%"
"25/01/2022","95,800","92,500","96,000","89,000","2.40M","3.01%"
"24/01/2022","93,000","89,400","93,500","88,200","2.73M","4.26%"
"21/01/2022","89,200","86,900","90,000","86,100","2.50M","2.41%"
"20/01/2022","87,100","85,200","87,500","83,100","2.79M","0.35%"
"19/01/2022","86,800","87,500","87,500","85,000","914.80K","-0.91%"
"18/01/2022","87,600","85,500","87,600","84,000","1.70M","1.62%"
"17/01/2022","86,200","83,000","88,000","82,300","2.63M","3.36%"
"14/01/2022","83,400","81,900","83,400","81,000","1.52M","1.83%"
"13/01/2022","81,900","80,500","84,400","80,200","2.53M","2.38%"
"12/01/2022","80,000","79,400","80,000","78,000","1.80M","0.76%"
"11/01/2022","79,400","80,000","80,000","78,500","952.70K","-0.13%"
"10/01/2022","79,500","79,700","79,900","78,500","1.10M","-0.38%"
"07/01/2022","79,800","79,600","79,900","78,200","966.20K","0.88%"
"06/01/2022","79,100","78,600","79,900","77,900","1.22M","1.41%"
"05/01/2022","78,000","79,000","80,400","78,000","1.60M","-1.27%"
"04/01/2022","79,000","79,000","79,400","78,000","1.13M","0.25%"
