"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","36,400.0","36,650.0","37,050.0","35,000.0","10.85M","-0.95%"
"10/03/2022","36,750.0","37,500.0","37,550.0","36,750.0","10.98M","-0.27%"
"09/03/2022","36,850.0","37,150.0","37,250.0","36,500.0","13.75M","-0.41%"
"08/03/2022","37,000.0","37,500.0","37,700.0","36,750.0","16.27M","-1.86%"
"07/03/2022","37,700.0","38,000.0","38,300.0","37,350.0","19.26M","-1.05%"
"04/03/2022","38,100.0","37,500.0","38,950.0","37,450.0","47.25M","1.74%"
"03/03/2022","37,450.0","36,800.0","37,450.0","36,500.0","20.15M","2.60%"
"02/03/2022","36,500.0","37,400.0","37,400.0","36,500.0","29.10M","-3.31%"
"01/03/2022","37,750.0","37,900.0","38,200.0","37,450.0","16.87M","-0.66%"
"28/02/2022","38,000.0","38,200.0","38,700.0","37,500.0","21.34M","-0.52%"
"25/02/2022","38,200.0","37,300.0","38,800.0","37,000.0","49.38M","3.52%"
"24/02/2022","36,900.0","35,850.0","37,200.0","35,600.0","35.73M","2.79%"
"23/02/2022","35,900.0","35,700.0","36,150.0","35,500.0","13.64M","0.98%"
"22/02/2022","35,550.0","35,500.0","35,900.0","35,200.0","10.69M","-0.97%"
"21/02/2022","35,900.0","35,800.0","36,150.0","35,400.0","10.17M","0.00%"
"18/02/2022","35,900.0","35,900.0","36,000.0","35,700.0","9.69M","-1.10%"
"17/02/2022","36,300.0","35,650.0","36,300.0","35,550.0","10.94M","1.82%"
"16/02/2022","35,650.0","36,100.0","36,400.0","35,650.0","6.91M","-0.83%"
"15/02/2022","35,950.0","35,200.0","36,200.0","35,200.0","12.56M","2.71%"
"14/02/2022","35,000.0","36,200.0","36,450.0","35,000.0","19.97M","-4.37%"
"11/02/2022","36,600.0","36,800.0","37,200.0","36,500.0","11.79M","-0.27%"
"10/02/2022","36,700.0","37,050.0","37,250.0","36,150.0","15.38M","-1.08%"
"09/02/2022","37,100.0","37,500.0","38,000.0","37,100.0","18.04M","-0.54%"
"08/02/2022","37,300.0","36,150.0","37,900.0","36,100.0","22.30M","2.75%"
"07/02/2022","36,300.0","37,000.0","37,200.0","36,300.0","11.23M","-0.95%"
"28/01/2022","36,650.0","35,650.0","36,700.0","35,500.0","24.09M","3.39%"
"27/01/2022","35,450.0","35,900.0","36,650.0","35,400.0","16.42M","-1.25%"
"26/01/2022","35,900.0","34,900.0","36,350.0","34,800.0","18.81M","2.87%"
"25/01/2022","34,900.0","33,400.0","34,900.0","33,100.0","11.70M","4.33%"
"24/01/2022","33,450.0","34,050.0","34,350.0","33,000.0","12.00M","-2.48%"
"21/01/2022","34,300.0","34,000.0","34,750.0","33,550.0","9.13M","1.03%"
"20/01/2022","33,950.0","33,600.0","33,950.0","33,200.0","7.76M","1.34%"
"19/01/2022","33,500.0","33,300.0","33,950.0","33,300.0","6.52M","0.75%"
"18/01/2022","33,250.0","33,050.0","33,900.0","33,000.0","6.34M","0.61%"
"17/01/2022","33,050.0","34,850.0","35,100.0","33,050.0","12.76M","-5.16%"
"14/01/2022","34,850.0","35,250.0","35,400.0","34,700.0","6.91M","-1.13%"
"13/01/2022","35,250.0","35,700.0","36,250.0","34,950.0","15.86M","-0.42%"
"12/01/2022","35,400.0","34,200.0","35,450.0","33,850.0","12.09M","3.21%"
"11/01/2022","34,300.0","34,400.0","34,800.0","34,000.0","9.31M","-0.29%"
"10/01/2022","34,400.0","34,500.0","35,100.0","34,150.0","11.05M","-0.58%"
"07/01/2022","34,600.0","35,100.0","35,150.0","34,600.0","12.00M","-1.56%"
"06/01/2022","35,150.0","35,300.0","35,500.0","34,900.0","14.34M","-0.99%"
"05/01/2022","35,500.0","36,050.0","36,150.0","35,500.0","13.26M","-1.53%"
"04/01/2022","36,050.0","36,150.0","36,350.0","36,000.0","14.31M","0.70%"
